Fecha;Bosque;Codigo planta;Especie planta;Numero flores;Ronda
16/05/2022;5;10;Pinguicula grandiflora;12;4
16/05/2022;5;15;Potentilla erecta;513;4
16/05/2022;5;17;Ranunculus sp.;31;4
16/05/2022;5;18;Scilla verna;960;4
16/05/2022;5;19;Pedicularis sylvatica;180;4
16/05/2022;5;20;Polygala vulgaris;435;4
16/05/2022;5;22;Lathyrus linifolius;1;4
16/05/2022;5;30;Vaccinium myrtillus;5;4
16/05/2022;5;46;Daboecia cantabrica;27;4
16/05/2022;5;47;Scorzonera humilis;6;4
17/05/2022;2;3;Viola riviniana;40;4
17/05/2022;2;4;Taraxacum officinale;287;4
17/05/2022;2;5;Bellis perennis;3247;4
17/05/2022;2;6;Potentilla esterilis;6;4
17/05/2022;2;8;Ranunculus ficaria;1;4
17/05/2022;2;11;Hutchinsia alpina;77;4
17/05/2022;2;15;Potentilla erecta;33;4
17/05/2022;2;17;Ranunculus sp.;86;4
17/05/2022;2;27;Geranium robertianum;14;4
17/05/2022;2;28;;3;4
17/05/2022;2;29;Lysimachia nemorum;12;4
17/05/2022;2;33;Veronica chamaedrys;12;4
17/05/2022;2;37;Fragaria vesca;102;4
17/05/2022;2;38;Cardamine pratensis;38;4
17/05/2022;2;39;Veronica sp.;11;4
17/05/2022;2;40;Orchis mascula;16;4
17/05/2022;2;41;Veronica officinalis;6;4
17/05/2022;2;42;Erinus alpinus;77;4
17/05/2022;2;44;Blanca estrellada;3;4
17/05/2022;2;48;Myosotis lamottiana;125;4
17/05/2022;2;49;Ajuga reptans;95;4
18/05/2022;3;5;Bellis perennis;201;4
18/05/2022;3;15;Potentilla erecta;58;4
18/05/2022;3;17;Ranunculus sp.;221;4
18/05/2022;3;19;Pedicularis sylvatica;2;4
18/05/2022;3;20;Polygala vulgaris;172;4
18/05/2022;3;21;Potentilla montana;185;4
18/05/2022;3;22;Lathyrus linifolius;19;4
18/05/2022;3;23;Genista hispanica;343;4
18/05/2022;3;24;Hippocrepis comosa;160;4
18/05/2022;3;32;Vicia pyrenaica;35;4
18/05/2022;3;34;Lotus corniculatus;182;4
18/05/2022;3;35;Helianthemum nummularium;49;4
18/05/2022;3;36;Pilosella officinarum;15;4
18/05/2022;3;44;Blanca estrellada;7;4
18/05/2022;3;45;Thymus praecox subsp. Polytrichus;405;4
18/05/2022;3;50;Cerastium fontanum;11;4
19/05/2022;1;3;Viola riviniana;7;5
19/05/2022;1;4;Taraxacum officinale;523;5
19/05/2022;1;5;Bellis perennis;7322;5
19/05/2022;1;6;Potentilla esterilis;4;5
19/05/2022;1;10;Pinguicula grandiflora;97;5
19/05/2022;1;11;Hutchinsia alpina;361;5
19/05/2022;1;17;Ranunculus sp.;384;5
19/05/2022;1;18;Scilla verna;127;5
19/05/2022;1;20;Polygala vulgaris;488;5
19/05/2022;1;21;Potentilla montana;13;5
19/05/2022;1;25;Erysimum gorbeanum;34;5
19/05/2022;1;27;Geranium robertianum;37;5
19/05/2022;1;29;Lysimachia nemorum;26;5
19/05/2022;1;32;Vicia pyrenaica;324;5
19/05/2022;1;33;Veronica chamaedrys;243;5
19/05/2022;1;41;Veronica officinalis;70;5
19/05/2022;1;42;Erinus alpinus;1542;5
19/05/2022;1;43;Cerastium sp.;10;5
19/05/2022;1;44;Blanca estrellada;6;5
19/05/2022;1;49;Ajuga reptans;11;5
19/05/2022;1;51;Medicago lupulina;828;5
19/05/2022;1;52;Linaria propinqua;25;5
19/05/2022;1;53;Anthyllis vulneraria;12;5
20/05/2022;4;4;Taraxacum officinale;9;5
20/05/2022;4;5;Bellis perennis;164;5
20/05/2022;4;15;Potentilla erecta;739;5
20/05/2022;4;17;Ranunculus sp.;216;5
20/05/2022;4;18;Scilla verna;3;5
20/05/2022;4;20;Polygala vulgaris;2106;5
20/05/2022;4;22;Lathyrus linifolius;5;5
20/05/2022;4;29;Lysimachia nemorum;25;5
20/05/2022;4;36;Pilosella officinarum;2;5
20/05/2022;4;41;Veronica officinalis;370;5
20/05/2022;4;44;Blanca estrellada;536;5
20/05/2022;4;58;Erica tetralix;9;5
30/05/2022;5;15;Potentilla erecta;149;5
30/05/2022;5;17;Ranunculus sp.;42;5
30/05/2022;5;18;Scilla verna;9;5
30/05/2022;5;19;Pedicularis sylvatica;24;5
30/05/2022;5;20;Polygala vulgaris;151;5
30/05/2022;5;46;Daboecia cantabrica;163;5
30/05/2022;5;47;Scorzonera humilis;49;5
30/05/2022;5;54;Galium mollugo;870;5
30/05/2022;5;58;Erica tetralix;39;5
31/05/2022;3;5;Bellis perennis;141;5
31/05/2022;3;15;Potentilla erecta;98;5
31/05/2022;3;17;Ranunculus sp.;130;5
31/05/2022;3;20;Polygala vulgaris;28;5
31/05/2022;3;21;Potentilla montana;15;5
31/05/2022;3;22;Lathyrus linifolius;2;5
31/05/2022;3;23;Genista hispanica;30;5
31/05/2022;3;24;Hippocrepis comosa;91;5
31/05/2022;3;32;Vicia pyrenaica;4;5
31/05/2022;3;34;Lotus corniculatus;691;5
31/05/2022;3;35;Helianthemum nummularium;97;5
31/05/2022;3;36;Pilosella officinarum;3;5
31/05/2022;3;41;Veronica officinalis;13;5
31/05/2022;3;43;Cerastium sp.;2;5
31/05/2022;3;44;Blanca estrellada;71;5
31/05/2022;3;45;Thymus praecox subsp. Polytrichus;778;5
31/05/2022;3;51;Medicago lupulina;24;5
31/05/2022;3;55;Trifolium repens;9;5
31/05/2022;3;56;Trifolium pratense;1;5
31/05/2022;3;59;Prunella vulgaris;8;5
31/05/2022;3;60;Plantago sp.;1;5
01/06/2022;2;4;Taraxacum officinale;3;5
01/06/2022;2;5;Bellis perennis;3011;5
01/06/2022;2;15;Potentilla erecta;136;5
01/06/2022;2;17;Ranunculus sp.;402;5
01/06/2022;2;27;Geranium robertianum;10;5
01/06/2022;2;29;Lysimachia nemorum;121;5
01/06/2022;2;33;Veronica chamaedrys;35;5
01/06/2022;2;37;Fragaria vesca;26;5
01/06/2022;2;41;Veronica officinalis;82;5
01/06/2022;2;48;Myosotis lamottiana;719;5
01/06/2022;2;49;Ajuga reptans;37;5
01/06/2022;2;61;Cirsium palustre;1;5
01/06/2022;2;62;Hypochaeris radicata;38;5
01/06/2022;2;63;Vicia sp.;8;5
02/06/2022;1;4;Taraxacum officinale;85;6
02/06/2022;1;5;Bellis perennis;6391;6
02/06/2022;1;10;Pinguicula grandiflora;11;6
02/06/2022;1;11;Hutchinsia alpina;184;6
02/06/2022;1;17;Ranunculus sp.;954;6
02/06/2022;1;20;Polygala vulgaris;35;6
02/06/2022;1;25;Erysimum gorbeanum;4;6
02/06/2022;1;27;Geranium robertianum;190;6
02/06/2022;1;29;Lysimachia nemorum;157;6
02/06/2022;1;32;Vicia pyrenaica;134;6
02/06/2022;1;33;Veronica chamaedrys;182;6
02/06/2022;1;34;Lotus corniculatus;254;6
02/06/2022;1;36;Pilosella officinarum;5;6
02/06/2022;1;37;Fragaria vesca;4;6
02/06/2022;1;41;Veronica officinalis;4;6
02/06/2022;1;42;Erinus alpinus;1180;6
02/06/2022;1;43;Cerastium sp.;14;6
02/06/2022;1;44;Blanca estrellada;9;6
02/06/2022;1;45;Thymus praecox subsp. Polytrichus;361;6
02/06/2022;1;49;Ajuga reptans;25;6
02/06/2022;1;51;Medicago lupulina;1231;6
02/06/2022;1;52;Linaria propinqua;8;6
02/06/2022;1;53;Anthyllis vulneraria;8;6
02/06/2022;1;54;Galium mollugo;64;6
02/06/2022;1;64;Eufrasia sp.;23;6
02/06/2022;1;65;Anagallis arvensis;7;6
06/06/2022;4;4;Taraxacum officinale;190;6
06/06/2022;4;5;Bellis perennis;46;6
06/06/2022;4;15;Potentilla erecta;752;6
06/06/2022;4;17;Ranunculus sp.;75;6
06/06/2022;4;20;Polygala vulgaris;137;6
06/06/2022;4;29;Lysimachia nemorum;12;6
06/06/2022;4;41;Veronica officinalis;393;6
06/06/2022;4;46;Daboecia cantabrica;8;6
06/06/2022;4;54;Galium mollugo;15510;6
06/06/2022;4;57;Erica cinerea;252;6
06/06/2022;4;58;Erica tetralix;75;6
06/06/2022;4;66;Sedum album;760;6
07/06/2022;3;5;Bellis perennis;47;6
07/06/2022;3;15;Potentilla erecta;36;6
07/06/2022;3;17;Ranunculus sp.;114;6
07/06/2022;3;20;Polygala vulgaris;14;6
07/06/2022;3;22;Lathyrus linifolius;2;6
07/06/2022;3;24;Hippocrepis comosa;22;6
07/06/2022;3;32;Vicia pyrenaica;1;6
07/06/2022;3;34;Lotus corniculatus;608;6
07/06/2022;3;35;Helianthemum nummularium;44;6
07/06/2022;3;36;Pilosella officinarum;4;6
07/06/2022;3;44;Blanca estrellada;6;6
07/06/2022;3;45;Thymus praecox subsp. Polytrichus;894;6
07/06/2022;3;51;Medicago lupulina;32;6
07/06/2022;3;55;Trifolium repens;2;6
07/06/2022;3;56;Trifolium pratense;1;6
07/06/2022;3;59;Prunella vulgaris;30;6
07/06/2022;3;60;Plantago sp.;7;6
07/06/2022;3;67;Prunella grandiflora;30;6
07/06/2022;3;68;Teucrium pyrenaicum;48;6
07/06/2022;3;69;Achillea millefolium;300;6
07/06/2022;3;70;Rhinanthus angustifolius;2;6
07/06/2022;3;71;Hypericum sp.;4;6
09/06/2022;5;15;Potentilla erecta;909;6
09/06/2022;5;17;Ranunculus sp.;18;6
09/06/2022;5;19;Pedicularis sylvatica;4;6
09/06/2022;5;20;Polygala vulgaris;49;6
09/06/2022;5;46;Daboecia cantabrica;187;6
09/06/2022;5;47;Scorzonera humilis;8;6
09/06/2022;5;54;Galium mollugo;552;6
09/06/2022;5;57;Erica cinerea;65;6
09/06/2022;5;58;Erica tetralix;89;6
10/06/2022;2;5;Bellis perennis;1846;6
10/06/2022;2;15;Potentilla erecta;54;6
10/06/2022;2;17;Ranunculus sp.;435;6
10/06/2022;2;27;Geranium robertianum ;6;6
10/06/2022;2;29;Lysimachia nemorum;51;6
10/06/2022;2;33;Veronica chamaedrys;12;6
10/06/2022;2;34;Lotus corniculatus ;9;6
10/06/2022;2;37;Fragaria vesca;8;6
10/06/2022;2;41;Veronica officinalis;142;6
10/06/2022;2;42;Erinus alpinus;18;6
10/06/2022;2;48;Myosotis lamottiana;489;6
10/06/2022;2;49;Ajuga reptans;14;6
10/06/2022;2;50;Cerastium fontanum;12;6
10/06/2022;2;54;Galium mollugo;11;6
10/06/2022;2;55;Trifolium repens;3;6
10/06/2022;2;56;Trifolium repens;3;6
10/06/2022;2;60;Plantago sp.;85;6
10/06/2022;2;62;Hypochaeris radicata;32;6
10/06/2022;2;63;Vicia sp.;2;6
14/06/2022;1;4;Taraxacum officinale;27;7
