"","Fecha","Hora","Bosque","Transecto..1.2.3.","Planta","Polinizador","sexo","capturado.","Codigo_frasco","Observaciones","Ronda","b","Polinizador_curro","Pollinator_genus","Pollinator_family"
"745",2022-05-30,"13:28:00",5,2,"Potentilla erecta","Sphaerophoria scripta","","",NA,"",5,"2022-05-30 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"746",2022-05-30,"13:28:00",5,2,"Potentilla erecta","Sphaerophoria scripta","","",NA,"",5,"2022-05-30 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"747",2022-05-30,"13:39:00",5,2,"Pedicularis sylvatica","Bombus pascuorum","","",NA,"",5,"2022-05-30 NA","Bombus pascuorum","Bombus","Apidae"
"748",2022-05-30,"13:54:00",5,2,"Scorzonera humilis","?=80","","",NA,"",5,"2022-05-30 NA","Lasioglossum sp","Lasioglossum","Halictidae"
"749",2022-05-30,"13:57:00",5,2,"Scorzonera humilis","","","si",85,"",5,"2022-05-30 85","Andrena limata","Andrena","Andrenidae"
"750",2022-05-30,"14:06:00",5,2,"Potentilla erecta","Eupeodes sp.","","",NA,"",5,"2022-05-30 NA","Eupeodes sp.","Eupeodes","Syrphidae"
"751",2022-05-30,"14:08:00",5,2,"Ranunculus sp.","?=83","","",NA,"",5,"2022-05-30 NA","?=83","?=83",NA
"752",2022-05-30,"14:08:00",5,2,"Ranunculus sp.","Pyrgus sp.","","",NA,"",5,"2022-05-30 NA","Pyrgus sp.","Pyrgus","Hesperiidae"
"753",2022-05-30,"14:10:00",5,2,"Scorzonera humilis","","","si",86,"",5,"2022-05-30 86","Bombus lucorum","Bombus","Apidae"
"754",2022-05-30,"15:38:00",5,3,"Scorzonera humilis","","","si",87,"",5,"2022-05-30 87","Bombus hortorum","Bombus","Apidae"
"755",2022-05-30,"15:48:00",5,3,"Potentilla erecta","Sphaerophoria scripta","","",NA,"",5,"2022-05-30 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"756",2022-05-30,"15:50:00",5,3,"Potentilla erecta","?=11","","",NA,"",5,"2022-05-30 NA","?=11","?=11",NA
"757",2022-05-30,"15:57:00",5,3,"Potentilla erecta","Eupeodes sp.","","",NA,"",5,"2022-05-30 NA","Eupeodes sp.","Eupeodes","Syrphidae"
"758",2022-05-30,"16:10:00",5,3,"Potentilla erecta","Sphaerophoria scripta","","",NA,"",5,"2022-05-30 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"759",2022-05-30,"16:15:00",5,3,"Pedicularis sylvatica","Bombus pascuorum","","",NA,"",5,"2022-05-30 NA","Bombus pascuorum","Bombus","Apidae"
"760",2022-05-30,"16:17:00",5,3,"Ranunculus sp.","?=83","","",NA,"",5,"2022-05-30 NA","?=83","?=83",NA
"761",2022-05-30,"16:17:00",5,3,"Ranunculus sp.","?=83","","",NA,"",5,"2022-05-30 NA","?=83","?=83",NA
"762",2022-05-30,"16:17:00",5,3,"Ranunculus sp.","?=83","","",NA,"",5,"2022-05-30 NA","?=83","?=83",NA
"763",2022-05-30,"16:17:00",5,3,"Scorzonera humilis","Bombus pascuorum","","",NA,"",5,"2022-05-30 NA","Bombus pascuorum","Bombus","Apidae"
"764",2022-05-30,"16:20:00",5,3,"Ranunculus sp.","?=83","","",NA,"",5,"2022-05-30 NA","?=83","?=83",NA
"765",2022-05-30,"16:22:00",5,3,"Daboecia cantabrica","Bombus pascuorum","","",NA,"",5,"2022-05-30 NA","Bombus pascuorum","Bombus","Apidae"
"766",2022-05-30,"16:25:00",5,3,"Daboecia cantabrica","Bombus lapidarius","","",NA,"",5,"2022-05-30 NA","Bombus lapidarius","Bombus","Apidae"
"767",2022-05-30,"16:26:00",5,3,"Daboecia cantabrica","Bombus pascuorum","","",NA,"",5,"2022-05-30 NA","Bombus pascuorum","Bombus","Apidae"
"768",2022-05-30,"16:39:00",5,3,"Daboecia cantabrica","","","si",88,"",5,"2022-05-30 88","Bombus sp","Bombus","Apidae"
"769",2022-05-30,"16:42:00",5,3,"Ranunculus sp.","?=83","","",NA,"",5,"2022-05-30 NA","?=83","?=83",NA
"770",2022-05-30,"16:42:00",5,3,"Ranunculus sp.","?=83","","",NA,"",5,"2022-05-30 NA","?=83","?=83",NA
"771",2022-05-30,"16:42:00",5,3,"Ranunculus sp.","Sphaerophoria scripta","","",NA,"",5,"2022-05-30 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"772",2022-05-30,"16:43:00",5,3,"Scorzonera humilis","Bombus lapidarius","","",NA,"",5,"2022-05-30 NA","Bombus lapidarius","Bombus","Apidae"
"773",2022-05-31,"10:52:00",3,1,"Ranunculus sp.","?=70","","",NA,"Sol, calor, nada de viento",5,"2022-05-31 NA","?=70","?=70",NA
"774",2022-05-31,"11:12:00",3,1,"Ranunculus sp.","?=70","","",NA,"",5,"2022-05-31 NA","?=70","?=70",NA
"775",2022-05-31,"11:27:00",3,1,"Ranunculus sp.","Sphaerophoria scripta","","",NA,"",5,"2022-05-31 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"776",2022-05-31,"11:28:00",3,1,"Ranunculus sp.","?=13","","",NA,"",5,"2022-05-31 NA","Halictus smaragdulus","Halictus","Halictidae"
"777",2022-05-31,"13:19:00",3,2,"Ranunculus sp.","Sphaerophoria scripta","","",NA,"",5,"2022-05-31 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"778",2022-05-31,"13:27:00",3,2,"Thymus praecox subsp. Polytrichus","Sphaerophoria scripta","macho","",NA,"",5,"2022-05-31 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"779",2022-05-31,"13:29:00",3,2,"Lotus corniculatus","Bombus pascuorum","","",NA,"",5,"2022-05-31 NA","Bombus pascuorum","Bombus","Apidae"
"780",2022-05-31,"13:44:00",3,2,"Lotus corniculatus","","","si",89,"",5,"2022-05-31 89","Apis melifera","Apis","Apidae"
"781",2022-05-31,"13:50:00",3,2,"Lotus corniculatus","?=89","","",NA,"",5,"2022-05-31 NA","Apis mellifera","Apis","Apidae"
"782",2022-05-31,"13:54:00",3,2,"Helianthemum nummularium","","","si",90,"",5,"2022-05-31 90","Scaeva pyrastri","Scaeva","Syrphidae"
"783",2022-05-31,"13:57:00",3,2,"Lotus corniculatus","","","si",91,"",5,"2022-05-31 91","Osmia emarginata","Osmia","Megachilidae"
"784",2022-05-31,"14:00:00",3,2,"Ranunculus sp.","?=11","","",NA,"",5,"2022-05-31 NA","?=11","?=11",NA
"785",2022-05-31,"14:04:00",3,2,"Helianthemum nummularium","","","si",92,"",5,"2022-05-31 92","","",NA
"786",2022-05-31,"14:17:00",3,2,"Helianthemum nummularium","?=92","","",NA,"",5,"2022-05-31 NA","?=92","?=92",NA
"787",2022-05-31,"15:35:00",3,3,"Trifolium repens","Bombus lapidarius","","",NA,"",5,"2022-05-31 NA","Bombus lapidarius","Bombus","Apidae"
"788",2022-05-31,"15:47:00",3,3,"Ranunculus sp.","?=11","","",NA,"",5,"2022-05-31 NA","?=11","?=11",NA
"789",2022-05-31,"15:55:00",3,3,"Lotus corniculatus","","","si",93,"",5,"2022-05-31 93","Andrena ovatula","Andrena","Andrenidae"
"790",2022-05-31,"16:07:00",3,3,"Lotus corniculatus","?=13","","",NA,"",5,"2022-05-31 NA","Halictus smaragdulus","Halictus","Halictidae"
"791",2022-05-31,"16:08:00",3,3,"Lotus corniculatus","?=91","","",NA,"",5,"2022-05-31 NA","Osmia emarginata","Osmia","Megachilidae"
"792",2022-05-31,"16:09:00",3,3,"Potentilla erecta","?=13","","",NA,"",5,"2022-05-31 NA","Halictus smaragdulus","Halictus","Halictidae"
"793",2022-05-31,"16:10:00",3,3,"Bellis perennis","Sphaerophoria scripta","","",NA,"",5,"2022-05-31 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"794",2022-05-31,"16:20:00",3,3,"Ranunculus sp.","?=13","","",NA,"",5,"2022-05-31 NA","Halictus smaragdulus","Halictus","Halictidae"
"795",2022-05-31,"16:27:00",3,3,"Potentilla erecta","?=13","","",NA,"",5,"2022-05-31 NA","Halictus smaragdulus","Halictus","Halictidae"
"796",2022-05-31,"16:37:00",3,3,"Thymus praecox subsp. Polytrichus","Sphaerophoria scripta","","",NA,"",5,"2022-05-31 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"797",2022-05-31,"16:39:00",3,3,"Thymus praecox subsp. Polytrichus","?=93","","",NA,"",5,"2022-05-31 NA","Andrena ovatula","Andrena","Andrenidae"
"798",2022-05-31,"16:41:00",3,3,"Bellis perennis","Sphaerophoria scripta","","",NA,"",5,"2022-05-31 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"799",2022-06-01,"10:45:00",2,1,"Fragaria vesca","?=94","","",NA,"Sol, sin viento calor",5,"2022-06-01 NA","Halictus confusus","Halictus","Halictidae"
"800",2022-06-01,"10:56:00",2,1,"Myosotis lamottiana","Sphaerophoria scripta","","",NA,"",5,"2022-06-01 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"801",2022-06-01,"11:01:00",2,1,"Ajuga reptans","Bombus sp.","","",NA,"",5,"2022-06-01 NA","Bombus sp.","Bombus","Apidae"
"802",2022-06-01,"11:05:00",2,1,"Bellis perennis","","","si",94,"",5,"2022-06-01 94","Halictus confusus","Halictus","Halictidae"
"803",2022-06-01,"11:10:00",2,1,"Hypochaeris radicata","?=94","","",NA,"",5,"2022-06-01 NA","Halictus confusus","Halictus","Halictidae"
"804",2022-06-01,"11:12:00",2,1,"Hypochaeris radicata","?=94","","",NA,"",5,"2022-06-01 NA","Halictus confusus","Halictus","Halictidae"
"805",2022-06-01,"11:15:00",2,1,"Bellis perennis","Sphaerophoria scripta","","",NA,"",5,"2022-06-01 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"806",2022-06-01,"11:17:00",2,1,"Ranunculus sp.","?=83","","",NA,"",5,"2022-06-01 NA","?=83","?=83",NA
"807",2022-06-01,"11:31:00",2,1,"Hypochaeris radicata","?=30","","",NA,"",5,"2022-06-01 NA","Eupeodes corollae","Eupeodes","Syrphidae"
"808",2022-06-01,"11:33:00",2,1,"Hypochaeris radicata","?=94","","",NA,"",5,"2022-06-01 NA","Halictus confusus","Halictus","Halictidae"
"809",2022-06-01,"13:12:00",2,2,"Potentilla erecta","Sphaerophoria scripta","","",NA,"",5,"2022-06-01 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"810",2022-06-01,"13:15:00",2,2,"Veronica officinalis","?=10","","",NA,"",5,"2022-06-01 NA","Platycheirus albimanus","Platycheirus","Syrphidae"
"811",2022-06-01,"13:16:00",2,2,"Veronica officinalis","?=11","","",NA,"",5,"2022-06-01 NA","?=11","?=11",NA
"812",2022-06-01,"13:20:00",2,2,"Potentilla erecta","?=11","","",NA,"",5,"2022-06-01 NA","?=11","?=11",NA
"813",2022-06-01,"13:23:00",2,2,"Potentilla erecta","?=94","","",NA,"",5,"2022-06-01 NA","Halictus confusus","Halictus","Halictidae"
"814",2022-06-01,"13:24:00",2,2,"Bellis perennis","Sphaerophoria scripta","","",NA,"",5,"2022-06-01 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"815",2022-06-01,"13:24:00",2,2,"Veronica chamaedrys","Sphaerophoria scripta","hembra","",NA,"",5,"2022-06-01 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"816",2022-06-01,"13:25:00",2,2,"Ranunculus sp.","Sphaerophoria scripta","macho","",NA,"",5,"2022-06-01 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"817",2022-06-01,"13:35:00",2,2,"Myosotis lamottiana","Sphaerophoria scripta","macho","",NA,"",5,"2022-06-01 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"818",2022-06-01,"13:36:00",2,2,"Myosotis lamottiana","?=94","","",NA,"",5,"2022-06-01 NA","Halictus confusus","Halictus","Halictidae"
"819",2022-06-01,"13:39:00",2,2,"Myosotis lamottiana","","","si",95,"",5,"2022-06-01 95","Cheilosia nigripes","Cheilosia","Syrphidae"
"820",2022-06-01,"13:40:00",2,2,"Ranunculus sp.","","","si",96,"",5,"2022-06-01 96","Cheilosia nigripes","Cheilosia","Syrphidae"
"821",2022-06-01,"13:42:00",2,2,"Bellis perennis","Eristalis sp.","","",NA,"",5,"2022-06-01 NA","Eristalis sp.","Eristalis","Syrphidae"
"822",2022-06-01,"13:43:00",2,2,"Bellis perennis","Sphaerophoria scripta","macho","",NA,"",5,"2022-06-01 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"823",2022-06-01,"13:43:00",2,2,"Myosotis lamottiana","Sphaerophoria scripta","macho","",NA,"",5,"2022-06-01 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"824",2022-06-01,"13:44:00",2,2,"Potentilla erecta","Sphaerophoria scripta","hembra","",NA,"",5,"2022-06-01 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"825",2022-06-01,"13:47:00",2,2,"Ajuga reptans","Bombus pascuorum","","",NA,"",5,"2022-06-01 NA","Bombus pascuorum","Bombus","Apidae"
"826",2022-06-01,"13:48:00",2,2,"Bellis perennis","?=30","","",NA,"",5,"2022-06-01 NA","Eupeodes corollae","Eupeodes","Syrphidae"
"827",2022-06-01,"13:49:00",2,2,"Myosotis lamottiana","Sphaerophoria scripta","","",NA,"",5,"2022-06-01 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"828",2022-06-01,"13:52:00",2,2,"Myosotis lamottiana","","","si",97,"",5,"2022-06-01 97","Platycheirus albimanus","Platycheirus","Syrphidae"
"829",2022-06-01,"13:55:00",2,2,"Bellis perennis","Sphaerophoria scripta","","",NA,"",5,"2022-06-01 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"830",2022-06-01,"13:56:00",2,2,"Veronica officinalis","?=94","","",NA,"",5,"2022-06-01 NA","Halictus confusus","Halictus","Halictidae"
"831",2022-06-01,"13:56:00",2,2,"Potentilla erecta","?=94","","",NA,"",5,"2022-06-01 NA","Halictus confusus","Halictus","Halictidae"
"832",2022-06-01,"14:00:00",2,2,"Potentilla erecta","","","si",98,"",5,"2022-06-01 98","Andrena sp","Andrena","Andrenidae"
"833",2022-06-01,"14:01:00",2,2,"Bellis perennis","Sphaerophoria scripta","macho","",NA,"",5,"2022-06-01 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"834",2022-06-01,"14:03:00",2,2,"Ranunculus sp.","?=94","","",NA,"",5,"2022-06-01 NA","Halictus confusus","Halictus","Halictidae"
"835",2022-06-01,"14:06:00",2,2,"Bellis perennis","?=30","","",NA,"",5,"2022-06-01 NA","Eupeodes corollae","Eupeodes","Syrphidae"
"836",2022-06-01,"14:10:00",2,2,"Bellis perennis","?=10","","",NA,"",5,"2022-06-01 NA","Platycheirus albimanus","Platycheirus","Syrphidae"
"837",2022-06-01,"14:12:00",2,2,"Bellis perennis","Sphaerophoria scripta","","",NA,"",5,"2022-06-01 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"838",2022-06-01,"14:15:00",2,2,"Bellis perennis","Sphaerophoria scripta","","",NA,"",5,"2022-06-01 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"839",2022-06-01,"15:35:00",2,3,"Bellis perennis","?=97","","",NA,"",5,"2022-06-01 NA","Platycheirus albimanus","Platycheirus","Syrphidae"
"840",2022-06-01,"15:38:00",2,3,"Myosotis lamottiana","Sphaerophoria scripta","","",NA,"",5,"2022-06-01 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"841",2022-06-01,"15:40:00",2,3,"Myosotis lamottiana","?=94","","",NA,"",5,"2022-06-01 NA","Halictus confusus","Halictus","Halictidae"
"842",2022-06-01,"15:41:00",2,3,"Bellis perennis","Sphaerophoria scripta","","",NA,"",5,"2022-06-01 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"843",2022-06-01,"15:42:00",2,3,"Ajuga reptans","Bombus lapidarius","","",NA,"",5,"2022-06-01 NA","Bombus lapidarius","Bombus","Apidae"
"844",2022-06-01,"15:42:00",2,3,"Bellis perennis","Sphaerophoria scripta","hembra","",NA,"",5,"2022-06-01 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"845",2022-06-01,"15:43:00",2,3,"Bellis perennis","?=13","","",NA,"",5,"2022-06-01 NA","Halictus smaragdulus","Halictus","Halictidae"
"846",2022-06-01,"15:43:00",2,3,"Myosotis lamottiana","Sphaerophoria scripta","macho","",NA,"",5,"2022-06-01 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"847",2022-06-01,"15:44:00",2,3,"Bellis perennis","?=30","","",NA,"",5,"2022-06-01 NA","Eupeodes corollae","Eupeodes","Syrphidae"
"848",2022-06-01,"15:50:00",2,3,"Ranunculus sp.","?=11","","",NA,"",5,"2022-06-01 NA","?=11","?=11",NA
"849",2022-06-01,"15:57:00",2,3,"Myosotis lamottiana","Sphaerophoria scripta","macho","",NA,"",5,"2022-06-01 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"850",2022-06-01,"16:01:00",2,3,"Myosotis lamottiana","?=97","","",NA,"",5,"2022-06-01 NA","Platycheirus albimanus","Platycheirus","Syrphidae"
"851",2022-06-01,"16:02:00",2,3,"Myosotis lamottiana","Sphaerophoria scripta","hembra","",NA,"",5,"2022-06-01 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"852",2022-06-01,"16:05:00",2,3,"Myosotis lamottiana","Pieris sp. Puntu beltzarekin","","",NA,"",5,"2022-06-01 NA","Pieris brassicae","Pieris","Pieridae"
"853",2022-06-01,"16:06:00",2,3,"Myosotis lamottiana","Sphaerophoria scripta","","",NA,"",5,"2022-06-01 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"854",2022-06-01,"16:07:00",2,3,"Ajuga reptans","Bombus lapidarius","","",NA,"",5,"2022-06-01 NA","Bombus lapidarius","Bombus","Apidae"
"855",2022-06-01,"16:15:00",2,3,"Bellis perennis","?=94","","",NA,"",5,"2022-06-01 NA","Halictus confusus","Halictus","Halictidae"
"856",2022-06-01,"16:16:00",2,3,"Bellis perennis","?=94","","",NA,"",5,"2022-06-01 NA","Halictus confusus","Halictus","Halictidae"
"857",2022-06-01,"16:19:00",2,3,"Bellis perennis","Sphaerophoria scripta","hembra","",NA,"",5,"2022-06-01 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"858",2022-06-01,"16:20:00",2,3,"Bellis perennis","Sphaerophoria scripta","hembra","",NA,"",5,"2022-06-01 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"859",2022-06-01,"16:22:00",2,3,"Bellis perennis","?=97","","",NA,"",5,"2022-06-01 NA","Platycheirus albimanus","Platycheirus","Syrphidae"
"860",2022-06-01,"16:23:00",2,3,"Bellis perennis","?=52","","",NA,"",5,"2022-06-01 NA","Calliphora vicina","Calliphora","Calliphoridae"
"861",2022-06-01,"16:25:00",2,3,"Ajuga reptans","Bombus pascuorum","","",NA,"",5,"2022-06-01 NA","Bombus pascuorum","Bombus","Apidae"
"862",2022-06-01,"16:27:00",2,3,"Vicia sp.","Bombus pascuorum","","",NA,"",5,"2022-06-01 NA","Bombus pascuorum","Bombus","Apidae"
"863",2022-06-02,"10:55:00",1,1,"Bellis perennis","Sphaerophoria scripta","","",NA,"Sol, calor ",6,"2022-06-02 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"864",2022-06-02,"11:02:00",1,1,"Medicago lupulina","Sphaerophoria scripta","hembra","",NA,"",6,"2022-06-02 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"865",2022-06-02,"11:04:00",1,1,"Ranunculus ficaria","Sphaerophoria scripta","hembra","",NA,"",6,"2022-06-02 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"866",2022-06-02,"11:05:00",1,1,"Pilosella officinarum","?=13","","",NA,"",6,"2022-06-02 NA","Halictus smaragdulus","Halictus","Halictidae"
"867",2022-06-02,"11:07:00",1,1,"Ranunculus sp.","Sphaerophoria scripta","macho","",NA,"",6,"2022-06-02 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"868",2022-06-02,"11:07:00",1,1,"Bellis perennis","Sphaerophoria scripta","macho","",NA,"",6,"2022-06-02 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"869",2022-06-02,"11:18:00",1,1,"Bellis perennis","Sphaerophoria scripta","macho","",NA,"",6,"2022-06-02 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"870",2022-06-02,"11:22:00",1,1,"Bellis perennis","Eristalis sp.","","",NA,"",6,"2022-06-02 NA","Eristalis sp.","Eristalis","Syrphidae"
"871",2022-06-02,"11:25:00",1,1,"Bellis perennis","Sphaerophoria scripta","macho","",NA,"",6,"2022-06-02 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"872",2022-06-02,"11:27:00",1,1,"Bellis perennis","Sphaerophoria scripta","hembra","",NA,"",6,"2022-06-02 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"873",2022-06-02,"11:30:00",1,1,"Bellis perennis","Sphaerophoria scripta","hembra","",NA,"",6,"2022-06-02 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"874",2022-06-02,"11:35:00",1,1,"Vicia pyrenaica","Bombus pascuorum","","",NA,"",6,"2022-06-02 NA","Bombus pascuorum","Bombus","Apidae"
"875",2022-06-02,"11:37:00",1,1,"Bellis perennis","Sphaerophoria scripta","hembra","",NA,"",6,"2022-06-02 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"876",2022-06-02,"11:37:00",1,1,"Bellis perennis","Sphaerophoria scripta","macho","",NA,"",6,"2022-06-02 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"877",2022-06-02,"11:37:00",1,1,"Bellis perennis","Sphaerophoria scripta","macho","",NA,"",6,"2022-06-02 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"878",2022-06-02,"11:40:00",1,1,"Bellis perennis","Sphaerophoria scripta","macho","",NA,"",6,"2022-06-02 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"879",2022-06-02,"11:40:00",1,1,"Bellis perennis","Sphaerophoria scripta","hembra","",NA,"",6,"2022-06-02 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"880",2022-06-02,"11:42:00",1,1,"Lotus corniculatus","Bombus pascuorum","","",NA,"",6,"2022-06-02 NA","Bombus pascuorum","Bombus","Apidae"
"881",2022-06-02,"11:45:00",1,1,"Bellis perennis","Sphaerophoria scripta","macho","",NA,"",6,"2022-06-02 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"882",2022-06-02,"11:45:00",1,1,"Bellis perennis","Sphaerophoria scripta","hembra","",NA,"",6,"2022-06-02 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"883",2022-06-02,"11:46:00",1,1,"Medicago lupulina","Sphaerophoria scripta","hembra","",NA,"",6,"2022-06-02 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"884",2022-06-02,"11:48:00",1,1,"Thymus praecox subsp. Polytrichus","Sphaerophoria scripta","hembra","",NA,"",6,"2022-06-02 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"885",2022-06-02,"11:48:00",1,1,"Thymus praecox subsp. Polytrichus","Sphaerophoria scripta","macho","",NA,"",6,"2022-06-02 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"886",2022-06-02,"11:49:00",1,1,"Bellis perennis","Sphaerophoria scripta","macho","",NA,"",6,"2022-06-02 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"887",2022-06-02,"11:49:00",1,1,"Bellis perennis","Sphaerophoria scripta","hembra","",NA,"",6,"2022-06-02 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"888",2022-06-02,"11:50:00",1,1,"Bellis perennis","?=10","","",NA,"",6,"2022-06-02 NA","Platycheirus albimanus","Platycheirus","Syrphidae"
"889",2022-06-02,"13:08:00",1,2,"Ranunculus sp.","?=70","","",NA,"",6,"2022-06-02 NA","?=70","?=70",NA
"890",2022-06-02,"13:10:00",1,2,"Bellis perennis","Sphaerophoria scripta","macho","",NA,"",6,"2022-06-02 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"891",2022-06-02,"13:11:00",1,2,"Ranunculus sp.","Eristalis sp.","","",NA,"",6,"2022-06-02 NA","Eristalis sp.","Eristalis","Syrphidae"
"892",2022-06-02,"13:11:00",1,2,"Medicago lupulina","Sphaerophoria scripta","hembra","",NA,"",6,"2022-06-02 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"893",2022-06-02,"13:12:00",1,2,"Ranunculus sp.","Eristalis sp.","","",NA,"",6,"2022-06-02 NA","Eristalis sp.","Eristalis","Syrphidae"
"894",2022-06-02,"13:14:00",1,2,"Bellis perennis","Eristalis sp.","","",NA,"",6,"2022-06-02 NA","Eristalis sp.","Eristalis","Syrphidae"
"895",2022-06-02,"13:15:00",1,2,"Medicago lupulina","Sphaerophoria scripta","macho","",NA,"",6,"2022-06-02 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"896",2022-06-02,"13:15:00",1,2,"Medicago lupulina","Sphaerophoria scripta","hembra","",NA,"",6,"2022-06-02 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"897",2022-06-02,"13:17:00",1,2,"Bellis perennis","","","si",99,"",6,"2022-06-02 99","Syrphidae","Syrphidae","Syrphidae"
"898",2022-06-02,"13:17:00",1,2,"Bellis perennis","Eristalis sp.","","",NA,"",6,"2022-06-02 NA","Eristalis sp.","Eristalis","Syrphidae"
"899",2022-06-02,"13:18:00",1,2,"Ranunculus sp.","?=97","","",NA,"",6,"2022-06-02 NA","Platycheirus albimanus","Platycheirus","Syrphidae"
"900",2022-06-02,"13:19:00",1,2,"Ranunculus sp.","Eristalis sp.","","",NA,"",6,"2022-06-02 NA","Eristalis sp.","Eristalis","Syrphidae"
"901",2022-06-02,"13:20:00",1,2,"Bellis perennis","Sphaerophoria scripta","hembra","",NA,"",6,"2022-06-02 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"902",2022-06-02,"13:20:00",1,2,"Bellis perennis","Sphaerophoria scripta","hembra","",NA,"",6,"2022-06-02 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"903",2022-06-02,"13:21:00",1,2,"Bellis perennis","Sphaerophoria scripta","macho","",NA,"",6,"2022-06-02 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"904",2022-06-02,"13:22:00",1,2,"Bellis perennis","?=99","","",NA,"",6,"2022-06-02 NA","Syrphidae","Syrphidae","Syrphidae"
"905",2022-06-02,"13:25:00",1,2,"Ranunculus sp.","","","si",100,"",6,"2022-06-02 100","Syrphus sp.","Syrphus","Syrphidae"
"906",2022-06-02,"13:27:00",1,2,"Vicia pyrenaica","Bombus pascuorum","","",NA,"",6,"2022-06-02 NA","Bombus pascuorum","Bombus","Apidae"
"907",2022-06-02,"13:33:00",1,2,"Bellis perennis","Sphaerophoria scripta","macho","",NA,"",6,"2022-06-02 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"908",2022-06-02,"13:37:00",1,2,"Bellis perennis","Sphaerophoria scripta","macho","",NA,"",6,"2022-06-02 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"909",2022-06-02,"13:37:00",1,2,"Ranunculus sp.","Sphaerophoria scripta","macho","",NA,"",6,"2022-06-02 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
