"","Fecha","Hora","Bosque","Transecto..1.2.3.","Planta","Polinizador","sexo","capturado.","Codigo_frasco","Observaciones","Ronda","b","Polinizador_curro","Pollinator_genus","Pollinator_family"
"76",2022-04-26,"11:10:00",1,1,"Bellis perennis","","","si",16,"",2,"2022-04-26 16","","",NA
"77",2022-04-26,"11:14:00",1,1,"Helleborus viridis","Bombus pascuorum","","no",NA,"",2,"2022-04-26 NA","Bombus pascuorum","Bombus","Apidae"
"78",2022-04-26,"11:16:00",1,1,"Bellis perennis","","","si",17,"",2,"2022-04-26 17","Eupeodes corollae","Eupeodes","Syrphidae"
"79",2022-04-26,"11:21:00",1,1,"Taraxacum officinale","?=12","","no",NA,"",2,"2022-04-26 NA","Andrena limata","Andrena","Andrenidae"
"82",2022-04-26,"11:30:00",1,1,"Bellis perennis","?=17","","no",NA,"",2,"2022-04-26 NA","Eupeodes corollae","Eupeodes","Syrphidae"
"83",2022-04-26,"11:31:00",1,1,"Hutchinsia alpina","?=17","","no",NA,"",2,"2022-04-26 NA","Eupeodes corollae","Eupeodes","Syrphidae"
"84",2022-04-26,"11:33:00",1,1,"Taraxacum officinale","?=11","","no",NA,"",2,"2022-04-26 NA","?=11","?=11",NA
"85",2022-04-26,"11:38:00",1,1,"Bellis perennis","?=17","","no",NA,"",2,"2022-04-26 NA","Eupeodes corollae","Eupeodes","Syrphidae"
"87",2022-04-26,"13:01:00",1,2,"Helleborus viridis","Apis mellifera","","no",NA,"",2,"2022-04-26 NA","Apis mellifera","Apis","Apidae"
"88",2022-04-26,"13:12:00",1,2,"Helleborus viridis","","","si",18,"",2,"2022-04-26 18","Bombus soroeensis","Bombus","Apidae"
"89",2022-04-26,"13:03:00",1,2,"Taraxacum officinale","?=12","","no",NA,"",2,"2022-04-26 NA","Andrena limata","Andrena","Andrenidae"
"90",2022-04-26,"13:18:00",1,2,"Helleborus viridis","Bombus pascuorum","","no",NA,"",2,"2022-04-26 NA","Bombus pascuorum","Bombus","Apidae"
"91",2022-04-26,"13:20:00",1,2,"Helleborus viridis","Bombus pascuorum","","no",NA,"",2,"2022-04-26 NA","Bombus pascuorum","Bombus","Apidae"
"92",2022-04-26,"13:21:00",1,2,"Helleborus viridis","Bombus pascuorum","","no",NA,"",2,"2022-04-26 NA","Bombus pascuorum","Bombus","Apidae"
"94",2022-04-26,"13:35:00",1,2,"Helleborus viridis","Bombus pascuorum","","no",NA,"",2,"2022-04-26 NA","Bombus pascuorum","Bombus","Apidae"
"97",2022-04-26,"13:41:00",1,2,"Helleborus viridis","Bombus pascuorum","","no",NA,"",2,"2022-04-26 NA","Bombus pascuorum","Bombus","Apidae"
"98",2022-04-26,"13:44:00",1,2,"Helleborus viridis","Bombus terrestris reina","","no",NA,"",2,"2022-04-26 NA","Bombus terrestris reina","Bombus","Apidae"
