Fecha,Bosque,Especie planta,Numero flores,Individuos o escapos,
05/07/20,5,Potentilla erecta,212,,
05/07/20,5,Erica cinerea,3732,622,
05/07/20,5,Erica vagans,,36,
05/07/20,5,Erica tetralix,774,129,
05/07/20,5,Daboecia cantabrica,57,,
05/07/20,5,Pedicularis sylvatica subsp. sylvatica,1,,
05/07/20,5,Prunella vulgaris,8,2,
05/07/20,5,Ranunculus sp.,2,,
05/07/20,5,Ulex gallii,1610,,
05/07/20,5,Galium sp.,17,,
05/07/20,5,Polygala vulgaris,2,,
07/07/20,4,Erica cinerea,3432,572,
07/07/20,4,Erica tetralix,660,110,
07/07/20,4,Erica vagans,135,,
07/07/20,4,Galium sp.,210,,
07/07/20,4,Sedum sp.,58,,
07/07/20,4,Daboecia cantabrica,3,,
07/07/20,4,Polygala vulgaris,12,,
07/07/20,4,Potentilla erecta,194,,
07/07/20,4,Taraxacum sp.,44,,
07/07/20,4,Ulex gallii,13,,
07/07/20,4,Ranunculus sp.,8,,
07/07/20,4,Prunella grandiflora,44,,
07/07/20,4,Bellis perennis,10,,
07/07/20,4,Trifolium repens,8,,
07/07/20,4,Campanula sp.,6,,
07/07/20,4,Jasione sp.,7,,
