"Site_id","Year","Bosque","Periodo","Especies","morisita"
"Doñana",2020,"Pinar Puebla",3,"Leontodon hispidus",0.414036780095647
"Doñana",2020,"Pinar Puebla",3,"Rosmarinus officinalis",0.462605732049014
"Doñana",2020,"Villamanrique Sur",3,"Anemone palmata",0.221125730994152
"Doñana",2020,"Villamanrique Sur",3,"Cistus salvifolius",0.318979266347687
"Doñana",2020,"Villamanrique Sur",3,"Halimium halimifolium",0.306186868686869
"Doñana",2020,"Villamanrique Chaparral",3,"Anthemis arvensis",0.138494244314391
"Doñana",2020,"Villamanrique Chaparral",3,"Cistus crispus",0.34113583554849
"Doñana",2020,"Villamanrique Chaparral",3,"Cistus salvifolius",0.0656264310263303
"Doñana",2020,"Villamanrique Chaparral",3,"Echium plantagineum",0.298144694057722
"Doñana",2020,"Villamanrique Chaparral",3,"Leontodon hispidus",0.199817103521715
"Doñana",2020,"Villamanrique Chaparral",3,"Tuberaria guttata",0.271041398599123
"Doñana",2020,"Pinar Puebla",4,"Cistus crispus",0
"Doñana",2020,"Pinar Puebla",4,"Cistus salvifolius",0.1
"Doñana",2020,"Pinar Puebla",4,"Galactite tomentosa",0
"Doñana",2020,"Pinar Puebla",4,"Leontodon hispidus",0.1
"Doñana",2020,"Villamanrique Sur",4,"Anemone palmata",0
"Doñana",2020,"Villamanrique Sur",4,"Cistus salvifolius",0.0942555994729908
"Doñana",2020,"Villamanrique Sur",4,"Halimium halimifolium",0.048695652173913
"Doñana",2020,"Villamanrique Sur",4,"Leontodon hispidus",0.0243478260869565
"Doñana",2020,"Villamanrique Sur",4,"Silene colorata",0.0212121212121212
"Doñana",2020,"Pinar Aznalcazar",4,"Cistus crispus",0.116279069767442
"Doñana",2020,"Pinar Aznalcazar",4,"Convolvulus arvensis",0
"Doñana",2020,"Pinar Aznalcazar",4,"Galactite tomentosa",0.116279069767442
"Doñana",2020,"Pinar Aznalcazar",4,"Leontodon hispidus",0
"Doñana",2020,"Pinar Puebla",5,"Echium plantagineum",0.294117647058824
"Doñana",2020,"Pinar Puebla",5,"Galactite tomentosa",0.301144674085851
"Doñana",2020,"Pinar Puebla",5,"Lavandula stoechas",0.166666666666667
"Doñana",2020,"Pinar Puebla",5,"Leontodon hispidus",0.267027027027027
"Doñana",2020,"Pinar Puebla",5,"Tolpis barbata",0.16
"Doñana",2020,"Pinar Hinojos",5,"Anthemis arvensis",0.478108581436077
"Doñana",2020,"Pinar Hinojos",5,"Leontodon hispidus",0.478108581436077
"Doñana",2020,"Villamanrique Chaparral",5,"Andryala integrifolia",0.337540663630449
"Doñana",2020,"Villamanrique Chaparral",5,"Cistus crispus",0.378052641416338
"Doñana",2020,"Villamanrique Chaparral",5,"Cistus salvifolius",0
"Doñana",2020,"Villamanrique Chaparral",5,"Echium plantagineum",0.411374408391469
"Doñana",2020,"Villamanrique Chaparral",5,"Galactite tomentosa",0.358823013545248
"Doñana",2020,"Villamanrique Chaparral",5,"Leontodon hispidus",0.215237401840969
"Doñana",2020,"Villamanrique Chaparral",5,"Lysimachia arvensis",0.0791208791208791
"Doñana",2020,"Pinar Hinojos",6,"Anthemis arvensis",0
"Doñana",2020,"Pinar Hinojos",6,"Leontodon hispidus",0
"Doñana",2020,"Pinar Hinojos",6,"Muscari comosum",0
"Doñana",2020,"Villamanrique Sur",6,"Andryala integrifolia",0.0947603121516165
"Doñana",2020,"Villamanrique Sur",6,"Cistus salvifolius",0
"Doñana",2020,"Villamanrique Sur",6,"Halimium halimifolium",0.0434782608695652
"Doñana",2020,"Villamanrique Sur",6,"Scolymus hispanicus",0.0512820512820513
"Doñana",2021,"Pinar Hinojos",1,"Halimium calycinum",0
"Doñana",2021,"Pinar Hinojos",1,"Oxalis pes-caprae",0
"Doñana",2021,"Pinar Hinojos",1,"Ulex australis",0
"Doñana",2021,"Pinar Hinojos",4,"Cistus salviifolius",0.305555555555556
"Doñana",2021,"Pinar Hinojos",4,"Halimium calycinum",0.0833333333333333
"Doñana",2021,"Pinar Hinojos",4,"Leontodon longirostris",0.222222222222222
