"","Site","Year","Bosque","Periodo","Planta","fruit_set","id_planta","X","Degree","Specialization","Closeness","nestedcontribution","match","tot.visits.pl","poll.sp","plant.sp"
"43","Doñana",2021,"Pinar Aznalcazar",5,"Cistus crispus",1,"8,07",132,0.3125,0.185185185185185,0.687978103485236,0.368998448008325,"Doñana_2021_Pinar Aznalcazar_5",7,16,7
"44","Doñana",2021,"Pinar Aznalcazar",5,"Cistus crispus",0.666666666666667,"8,08",132,0.3125,0.185185185185185,0.687978103485236,0.368998448008325,"Doñana_2021_Pinar Aznalcazar_5",7,16,7
"45","Doñana",2021,"Pinar Aznalcazar",5,"Cistus crispus",1,"9,02",132,0.3125,0.185185185185185,0.687978103485236,0.368998448008325,"Doñana_2021_Pinar Aznalcazar_5",7,16,7
"46","Doñana",2021,"Pinar Aznalcazar",5,"Cistus crispus",1,"9,06",132,0.3125,0.185185185185185,0.687978103485236,0.368998448008325,"Doñana_2021_Pinar Aznalcazar_5",7,16,7
"47","Doñana",2021,"Pinar Aznalcazar",5,"Cistus salviifolius",0.2,"1,07",133,0.375,0.2,0.502713688725326,1.02425135123181,"Doñana_2021_Pinar Aznalcazar_5",8,16,7
"48","Doñana",2021,"Pinar Aznalcazar",5,"Cistus salviifolius",0,"1,10",133,0.375,0.2,0.502713688725326,1.02425135123181,"Doñana_2021_Pinar Aznalcazar_5",8,16,7
"49","Doñana",2021,"Pinar Aznalcazar",5,"Cistus salviifolius",1,"2,07",133,0.375,0.2,0.502713688725326,1.02425135123181,"Doñana_2021_Pinar Aznalcazar_5",8,16,7
"50","Doñana",2021,"Pinar Aznalcazar",5,"Cistus salviifolius",1,"3,06",133,0.375,0.2,0.502713688725326,1.02425135123181,"Doñana_2021_Pinar Aznalcazar_5",8,16,7
"51","Doñana",2021,"Pinar Aznalcazar",5,"Cistus salviifolius",1,"3,07",133,0.375,0.2,0.502713688725326,1.02425135123181,"Doñana_2021_Pinar Aznalcazar_5",8,16,7
"52","Doñana",2021,"Pinar Aznalcazar",5,"Cistus salviifolius",1,"3,08",133,0.375,0.2,0.502713688725326,1.02425135123181,"Doñana_2021_Pinar Aznalcazar_5",8,16,7
"53","Doñana",2021,"Pinar Aznalcazar",5,"Cistus salviifolius",1,"3,09",133,0.375,0.2,0.502713688725326,1.02425135123181,"Doñana_2021_Pinar Aznalcazar_5",8,16,7
"54","Doñana",2021,"Pinar Aznalcazar",5,"Cistus salviifolius",1,"4,09",133,0.375,0.2,0.502713688725326,1.02425135123181,"Doñana_2021_Pinar Aznalcazar_5",8,16,7
"55","Doñana",2021,"Pinar Aznalcazar",5,"Cistus salviifolius",1,"6,03",133,0.375,0.2,0.502713688725326,1.02425135123181,"Doñana_2021_Pinar Aznalcazar_5",8,16,7
"56","Doñana",2021,"Pinar Aznalcazar",5,"Cistus salviifolius",0,"6,04",133,0.375,0.2,0.502713688725326,1.02425135123181,"Doñana_2021_Pinar Aznalcazar_5",8,16,7
"57","Doñana",2021,"Pinar Aznalcazar",5,"Cistus salviifolius",0,"6,07",133,0.375,0.2,0.502713688725326,1.02425135123181,"Doñana_2021_Pinar Aznalcazar_5",8,16,7
"58","Doñana",2021,"Pinar Aznalcazar",5,"Cistus salviifolius",1,"6,10",133,0.375,0.2,0.502713688725326,1.02425135123181,"Doñana_2021_Pinar Aznalcazar_5",8,16,7
"59","Doñana",2021,"Pinar Aznalcazar",5,"Cistus salviifolius",1,"8,03",133,0.375,0.2,0.502713688725326,1.02425135123181,"Doñana_2021_Pinar Aznalcazar_5",8,16,7
"60","Doñana",2021,"Pinar Aznalcazar",5,"Cistus salviifolius",0,"8,10",133,0.375,0.2,0.502713688725326,1.02425135123181,"Doñana_2021_Pinar Aznalcazar_5",8,16,7
"61","Doñana",2021,"Pinar Aznalcazar",5,"Cistus salviifolius",0.5,"9,03",133,0.375,0.2,0.502713688725326,1.02425135123181,"Doñana_2021_Pinar Aznalcazar_5",8,16,7
"62","Doñana",2021,"Pinar Aznalcazar",5,"Cistus salviifolius",1,"10,10",133,0.375,0.2,0.502713688725326,1.02425135123181,"Doñana_2021_Pinar Aznalcazar_5",8,16,7
"63","Doñana",2021,"Pinar Aznalcazar",5,"Halimiun halimifolium",0.666666666666667,"(10,08)1",NA,NA,NA,NA,NA,NA,NA,NA,NA
