Fecha,Hora,Bosque,"Transecto (1,2,3)",Planta,Polinizador,sexo,capturado?,Codigo_frasco,Observaciones,Ronda,Codigo_Final,Latitude,Longitude
26/04/22,13:51:00,1,2,Oxalis acetosella,?=1,,no,,,2,,,
26/04/22,15:16:00,1,3,Helleborus viridis,Bombus terrestris reina,,no,,,2,,,
26/04/22,15:18:00,1,3,Viola riviniana,Bombus pascuorum,,no,,,2,,,
26/04/22,15:23:00,1,3,Helleborus viridis,,,no,20,,2,,,
26/04/22,15:24:00,1,3,Bellis perennis,?=1,,no,,,2,,,
26/04/22,15:26:00,1,3,Helleborus viridis,?=20,,no,,,2,,,
26/04/22,15:27:00,1,3,Helleborus viridis,Bombus pascuorum,,no,,,2,,,
26/04/22,15:29:00,1,3,Bellis perennis,?=6,,no,,,2,,,
26/04/22,15:30:00,1,3,Helleborus viridis,?=18,,no,,,2,,,
26/04/22,15:36:00,1,3,Bellis perennis,?=6,,no,,,2,,,
26/04/22,15:37:00,1,3,Helleborus viridis,Bombus pascuorum,,no,,,2,,,
26/04/22,15:42:00,1,3,Bellis perennis,?=6,,no,,,2,,,
26/04/22,15:44:00,1,3,Taraxacum officinale,?=1,,no,,,2,,,
26/04/22,15:44:00,1,3,Bellis perennis,?=6,,no,,,2,,,
26/04/22,15:45:00,1,3,Helleborus viridis,Apis mellifera,,no,,,2,,,
26/04/22,15:48:00,1,3,Helleborus viridis,Bombus pascuorum,,no,,,2,,,
26/04/22,15:43:00,1,3,Bellis perennis,?=1,,no,,,2,,,
26/04/22,15:54:00,1,3,Bellis perennis,?=1,,no,,,2,,,
26/04/22,15:56:00,1,3,Bellis perennis,?=1,,no,,,2,,,
26/04/22,15:57:00,1,3,Taraxacum officinale,?=12,,no,,,2,,,
26/04/22,15:59:00,1,3,Helleborus viridis,?=18,,no,,,2,,,
26/04/22,16:01:00,1,3,Helleborus viridis,Bombus terrestris reina,,no,,,2,,,
26/04/22,16:03:00,1,3,Helleborus viridis,Bombus terrestris reina,,no,,,2,,,
26/04/22,16:08:00,1,3,Viola riviniana,Bombus pascuorum,,no,,,2,,,
26/04/22,16:10:00,1,3,Taraxacum officinale,?=12,,no,,,2,,,
26/04/22,16:13:00,1,3,Bellis perennis,?=1,,no,,,2,,,
29/04/22,10:41:00,2,1,Taraxacum officinale,?=60,,no,,"Sol, no hay viento, calosr aprox. 15º",2,,,
29/04/22,10:50:00,2,1,Bellis perennis,?=12,,no,,,2,,,
29/04/22,11:00:00,2,1,Taraxacum officinale,?=30,,no,,,2,,,
29/04/22,11:05:00,2,1,Taraxacum officinale,?=30,,no,,,2,,,
29/04/22,13:12:00,2,2,Taraxacum officinale,?=1,,no,,,2,,,
29/04/22,13:14:00,2,2,Bellis perennis,,,si,21,,2,,,
29/04/22,13:15:00,2,2,Bellis perennis,?=30,,no,,,2,,,
29/04/22,13:16:00,2,2,Bellis perennis,?=30,,no,,,2,,,
29/04/22,13:18:00,2,2,Taraxacum officinale,?=12,,no,,,2,,,
29/04/22,13:21:00,2,2,Taraxacum officinale,?=30,,no,,,2,,,
29/04/22,13:21:00,2,2,Taraxacum officinale,?=30,,no,,,2,,,
29/04/22,13:22:00,2,2,Taraxacum officinale,?=30,,no,,,2,,,
29/04/22,13:26:00,2,2,Bellis perennis,?=21,,no,,,2,,,
29/04/22,13:29:00,2,2,Bellis perennis,?=30,,si,22,,2,,,
29/04/22,13:33:00,2,2,Bellis perennis,?=30,,no,,,2,,,
29/04/22,13:38:00,2,2,Taraxacum officinale,?=12,,no,,,2,,,
29/04/22,13:39:00,2,2,Taraxacum officinale,,,si,23,,2,,,
29/04/22,13:40:00,2,2,Bellis perennis,?=30,,no,,,2,,,
29/04/22,13:46:00,2,2,Bellis perennis,?=30,,no,,,2,,,
29/04/22,13:46:00,2,2,Bellis perennis,?=31,,no,,,2,,,
29/04/22,13:48:00,2,2,Potentilla sterilis,?=30,,no,,,2,,,
29/04/22,13:49:00,2,2,Potentilla sterilis,?=30,,no,,,2,,,
29/04/22,13:51:00,2,2,Taraxacum officinale,,,si,24,,2,,,
29/04/22,13:53:00,2,2,Bellis perennis,?=21,,no,,,2,,,
29/04/22,13:59:00,2,2,Bellis perennis,?=30,,no,,,2,,,
29/04/22,14:01:00,2,2,Taraxacum officinale,?=24,,no,,,2,,,
