"","Site","Year","Periodo","Planta","Bosque","fruit_set"
"112","Doñana","2021","3","Halimiun calycinum","Pinar Hinojos",0.6
"113","Doñana","2021","3","Halimiun calycinum","Pinar Hinojos",0.333333333333333
"114","Doñana","2021","3","Halimiun calycinum","Pinar Hinojos",1
"115","Doñana","2021","3","Halimiun calycinum","Pinar Hinojos",0.4
"116","Doñana","2021","3","Halimiun calycinum","Pinar Hinojos",0.3
"117","Doñana","2021","3","Halimiun calycinum","Pinar Hinojos",1
"118","Doñana","2021","3","Halimiun calycinum","Pinar Hinojos",0.777777777777778
"119","Doñana","2021","3","Halimiun calycinum","Pinar Hinojos",0.666666666666667
"120","Doñana","2021","4","Halimiun calycinum","Pinar Hinojos",0
"121","Doñana","2021","4","Halimiun calycinum","Pinar Hinojos",0
"122","Doñana","2021","4","Halimiun calycinum","Pinar Hinojos",0.666666666666667
"123","Doñana","2021","4","Halimiun calycinum","Pinar Hinojos",0
"124","Doñana","2021","4","Halimiun calycinum","Pinar Hinojos",1
"125","Doñana","2021","4","Halimiun calycinum","Pinar Hinojos",0.444444444444444
"126","Doñana","2021","4","Halimiun calycinum","Pinar Hinojos",0.333333333333333
"127","Doñana","2021","4","Halimiun calycinum","Pinar Hinojos",0.444444444444444
"128","Doñana","2021","4","Halimiun calycinum","Pinar Hinojos",0.555555555555556
"129","Doñana","2021","5","Cistus libanotis","Pinar Hinojos",1
"130","Doñana","2021","5","Cistus libanotis","Pinar Hinojos",1
"131","Doñana","2021","5","Halimiun calycinum","Pinar Hinojos",1
"132","Doñana","2021","5","Halimiun calycinum","Pinar Hinojos",0
"133","Doñana","2021","5","Halimiun calycinum","Pinar Hinojos",0.333333333333333
"134","Doñana","2021","5","Halimiun calycinum","Pinar Hinojos",0.4
"135","Doñana","2021","5","Halimiun calycinum","Pinar Hinojos",1
"136","Doñana","2021","5","Halimiun calycinum","Pinar Hinojos",0.875
"137","Doñana","2021","5","Halimiun calycinum","Pinar Hinojos",0.857142857142857
"138","Doñana","2021","6","Cistus libanotis","Pinar Hinojos",0.454545454545455
"139","Doñana","2021","6","Cistus libanotis","Pinar Hinojos",0.465116279069767
"140","Doñana","2021","6","Halimiun calycinum","Pinar Hinojos",1
"141","Doñana","2021","6","Halimiun calycinum","Pinar Hinojos",0
"142","Doñana","2021","6","Halimiun calycinum","Pinar Hinojos",0
"143","Doñana","2021","6","Halimiun calycinum","Pinar Hinojos",0
"144","Doñana","2021","6","Halimiun calycinum","Pinar Hinojos",0.5
"145","Doñana","2021","6","Halimiun calycinum","Pinar Hinojos",0
"146","Doñana","2021","6","Halimiun calycinum","Pinar Hinojos",0
"147","Doñana","2021","7","Cistus libanotis","Pinar Hinojos",1
"148","Doñana","2021","7","Cistus libanotis","Pinar Hinojos",0
"149","Doñana","2021","8",NA,"Pinar Hinojos",NA
"150","Doñana","2021","9",NA,"Pinar Hinojos",NA
"151","Doñana","2021","1","Cistus salviifolius","Pinar Puebla",0.8
"152","Doñana","2021","1","Cistus salviifolius","Pinar Puebla",1
"153","Doñana","2021","1","Cistus salviifolius","Pinar Puebla",0.8
"154","Doñana","2021","1","Cistus salviifolius","Pinar Puebla",1
"155","Doñana","2021","1","Cistus salviifolius","Pinar Puebla",1
"156","Doñana","2021","2","Cistus salviifolius","Pinar Puebla",0.8
"157","Doñana","2021","2","Cistus salviifolius","Pinar Puebla",0.8
"158","Doñana","2021","2","Cistus salviifolius","Pinar Puebla",1
"159","Doñana","2021","2","Cistus salviifolius","Pinar Puebla",1
"160","Doñana","2021","2","Cistus salviifolius","Pinar Puebla",1
"161","Doñana","2021","2","Cistus salviifolius","Pinar Puebla",0.6
"162","Doñana","2021","2","Cistus salviifolius","Pinar Puebla",1
"163","Doñana","2021","2","Cistus salviifolius","Pinar Puebla",0.8
"164","Doñana","2021","2","Cistus salviifolius","Pinar Puebla",1
"165","Doñana","2021","2","Cistus salviifolius","Pinar Puebla",1
"166","Doñana","2021","3","Cistus salviifolius","Pinar Puebla",0.6
"167","Doñana","2021","3","Cistus salviifolius","Pinar Puebla",0.8
"168","Doñana","2021","3","Cistus salviifolius","Pinar Puebla",0.6
"169","Doñana","2021","3","Cistus salviifolius","Pinar Puebla",1
"170","Doñana","2021","3","Cistus salviifolius","Pinar Puebla",0.8
"171","Doñana","2021","3","Cistus salviifolius","Pinar Puebla",0.8
"172","Doñana","2021","3","Cistus salviifolius","Pinar Puebla",1
"173","Doñana","2021","3","Cistus salviifolius","Pinar Puebla",1
"174","Doñana","2021","3","Cistus salviifolius","Pinar Puebla",1
"175","Doñana","2021","3","Cistus salviifolius","Pinar Puebla",0.8
"176","Doñana","2021","4","Cistus salviifolius","Pinar Puebla",0.285714285714286
"177","Doñana","2021","4","Cistus salviifolius","Pinar Puebla",0
"178","Doñana","2021","4","Cistus salviifolius","Pinar Puebla",1
"179","Doñana","2021","4","Cistus salviifolius","Pinar Puebla",0
"180","Doñana","2021","4","Cistus salviifolius","Pinar Puebla",0
"181","Doñana","2021","4","Cistus salviifolius","Pinar Puebla",0.5
"182","Doñana","2021","4","Cistus salviifolius","Pinar Puebla",1
"183","Doñana","2021","4","Cistus salviifolius","Pinar Puebla",1
"184","Doñana","2021","4","Cistus salviifolius","Pinar Puebla",1
"185","Doñana","2021","4","Cistus salviifolius","Pinar Puebla",0
"186","Doñana","2021","5","Cistus salviifolius","Pinar Puebla",0.5
"187","Doñana","2021","5","Cistus salviifolius","Pinar Puebla",0
"188","Doñana","2021","5","Cistus salviifolius","Pinar Puebla",1
"189","Doñana","2021","5","Cistus salviifolius","Pinar Puebla",0
"190","Doñana","2021","6","Cistus crispus","Pinar Puebla",1
"191","Doñana","2021","6","Cistus crispus","Pinar Puebla",1
"192","Doñana","2021","6","Cistus crispus","Pinar Puebla",0.75
"193","Doñana","2021","6","Cistus crispus","Pinar Puebla",1
"194","Doñana","2021","6","Cistus crispus","Pinar Puebla",1
"195","Doñana","2021","7","Cistus crispus","Pinar Puebla",0.333333333333333
"196","Doñana","2021","7","Cistus crispus","Pinar Puebla",0
"197","Doñana","2021","7","Cistus crispus","Pinar Puebla",0
"198","Doñana","2021","7","Cistus crispus","Pinar Puebla",0
"199","Doñana","2021","7","Cistus crispus","Pinar Puebla",1
"200","Doñana","2021","8","Cistus crispus","Pinar Puebla",0
"201","Doñana","2021","8","Cistus crispus","Pinar Puebla",0.5
"202","Doñana","2021","8","Cistus crispus","Pinar Puebla",0.5
"203","Doñana","2021","8","Cistus crispus","Pinar Puebla",1
"204","Doñana","2021","2","Cistus ladanifer","Villamanrique Chaparral",0
"205","Doñana","2021","2","Cistus ladanifer","Villamanrique Chaparral",0.2
"206","Doñana","2021","2","Cistus ladanifer","Villamanrique Chaparral",0.4
"207","Doñana","2021","2","Cistus ladanifer","Villamanrique Chaparral",0
"208","Doñana","2021","2","Cistus ladanifer","Villamanrique Chaparral",0
"209","Doñana","2021","3","Cistus ladanifer","Villamanrique Chaparral",0.6
"210","Doñana","2021","3","Cistus ladanifer","Villamanrique Chaparral",1
"211","Doñana","2021","3","Cistus ladanifer","Villamanrique Chaparral",0.5
"212","Doñana","2021","3","Cistus ladanifer","Villamanrique Chaparral",0.2
"213","Doñana","2021","3","Cistus ladanifer","Villamanrique Chaparral",0.75
"214","Doñana","2021","3","Cistus ladanifer","Villamanrique Chaparral",0.4
"215","Doñana","2021","3","Cistus ladanifer","Villamanrique Chaparral",0.2
"216","Doñana","2021","3","Cistus ladanifer","Villamanrique Chaparral",0.6
"217","Doñana","2021","3","Cistus ladanifer","Villamanrique Chaparral",0
"218","Doñana","2021","3","Cistus ladanifer","Villamanrique Chaparral",0
"219","Doñana","2021","3","Cistus salviifolius","Villamanrique Chaparral",1
"220","Doñana","2021","3","Cistus salviifolius","Villamanrique Chaparral",0.8
"221","Doñana","2021","3","Cistus salviifolius","Villamanrique Chaparral",0
"222","Doñana","2021","3","Cistus salviifolius","Villamanrique Chaparral",0.8
"223","Doñana","2021","3","Cistus salviifolius","Villamanrique Chaparral",0.8
"224","Doñana","2021","4","Cistus ladanifer","Villamanrique Chaparral",0.5
"225","Doñana","2021","4","Cistus ladanifer","Villamanrique Chaparral",0.5
"226","Doñana","2021","4","Cistus ladanifer","Villamanrique Chaparral",1
"227","Doñana","2021","4","Cistus ladanifer","Villamanrique Chaparral",1
"228","Doñana","2021","4","Cistus ladanifer","Villamanrique Chaparral",0.75
"229","Doñana","2021","4","Cistus ladanifer","Villamanrique Chaparral",1
"230","Doñana","2021","4","Cistus ladanifer","Villamanrique Chaparral",0
"231","Doñana","2021","4","Cistus ladanifer","Villamanrique Chaparral",0.8
"232","Doñana","2021","4","Cistus salviifolius","Villamanrique Chaparral",1
"233","Doñana","2021","4","Cistus salviifolius","Villamanrique Chaparral",1
"234","Doñana","2021","4","Cistus salviifolius","Villamanrique Chaparral",0.8
"235","Doñana","2021","4","Cistus salviifolius","Villamanrique Chaparral",1
"236","Doñana","2021","4","Cistus salviifolius","Villamanrique Chaparral",0.2
"237","Doñana","2021","4","Cistus salviifolius","Villamanrique Chaparral",0.8
"238","Doñana","2021","4","Cistus salviifolius","Villamanrique Chaparral",0.8
"239","Doñana","2021","4","Cistus salviifolius","Villamanrique Chaparral",0.8
"240","Doñana","2021","4","Cistus salviifolius","Villamanrique Chaparral",0.4
"241","Doñana","2021","4","Cistus salviifolius","Villamanrique Chaparral",0.8
"242","Doñana","2021","5","Cistus crispus","Villamanrique Chaparral",1
"243","Doñana","2021","5","Cistus crispus","Villamanrique Chaparral",1
"244","Doñana","2021","5","Cistus crispus","Villamanrique Chaparral",0
"245","Doñana","2021","5","Cistus crispus","Villamanrique Chaparral",0
"246","Doñana","2021","5","Cistus crispus","Villamanrique Chaparral",0.666666666666667
"247","Doñana","2021","5","Cistus crispus","Villamanrique Chaparral",1
"248","Doñana","2021","5","Cistus crispus","Villamanrique Chaparral",0
"249","Doñana","2021","5","Cistus salviifolius","Villamanrique Chaparral",1
"250","Doñana","2021","5","Cistus salviifolius","Villamanrique Chaparral",1
"251","Doñana","2021","5","Cistus salviifolius","Villamanrique Chaparral",1
"252","Doñana","2021","5","Cistus salviifolius","Villamanrique Chaparral",0.8
"253","Doñana","2021","5","Cistus salviifolius","Villamanrique Chaparral",0.8
"254","Doñana","2021","5","Cistus salviifolius","Villamanrique Chaparral",1
"255","Doñana","2021","5","Cistus salviifolius","Villamanrique Chaparral",1
"256","Doñana","2021","5","Cistus salviifolius","Villamanrique Chaparral",1
"257","Doñana","2021","5","Cistus salviifolius","Villamanrique Chaparral",1
"258","Doñana","2021","5","Cistus salviifolius","Villamanrique Chaparral",1
"259","Doñana","2021","5","Cistus salviifolius","Villamanrique Chaparral",1
"260","Doñana","2021","6","Cistus crispus","Villamanrique Chaparral",0.6
"261","Doñana","2021","6","Cistus crispus","Villamanrique Chaparral",0.8
"262","Doñana","2021","6","Cistus crispus","Villamanrique Chaparral",0.2
"263","Doñana","2021","6","Cistus crispus","Villamanrique Chaparral",1
"264","Doñana","2021","6","Cistus crispus","Villamanrique Chaparral",0.8
"265","Doñana","2021","6","Cistus crispus","Villamanrique Chaparral",0.6
"266","Doñana","2021","6","Cistus crispus","Villamanrique Chaparral",0.8
"267","Doñana","2021","6","Cistus crispus","Villamanrique Chaparral",1
"268","Doñana","2021","6","Cistus crispus","Villamanrique Chaparral",0.2
"269","Doñana","2021","6","Cistus salviifolius","Villamanrique Chaparral",0.8
"270","Doñana","2021","6","Cistus salviifolius","Villamanrique Chaparral",0.8
"271","Doñana","2021","6","Cistus salviifolius","Villamanrique Chaparral",0.6
"272","Doñana","2021","6","Cistus salviifolius","Villamanrique Chaparral",1
"273","Doñana","2021","6","Cistus salviifolius","Villamanrique Chaparral",1
"274","Doñana","2021","6","Cistus salviifolius","Villamanrique Chaparral",0.8
"275","Doñana","2021","6","Cistus salviifolius","Villamanrique Chaparral",1
"276","Doñana","2021","6","Cistus salviifolius","Villamanrique Chaparral",0.6
"277","Doñana","2021","6","Cistus salviifolius","Villamanrique Chaparral",0.6
"278","Doñana","2021","6","Cistus salviifolius","Villamanrique Chaparral",0.4
"279","Doñana","2021","7","Cistus crispus","Villamanrique Chaparral",0.6
"280","Doñana","2021","7","Cistus crispus","Villamanrique Chaparral",1
"281","Doñana","2021","7","Cistus crispus","Villamanrique Chaparral",1
"282","Doñana","2021","7","Cistus crispus","Villamanrique Chaparral",0.8
"283","Doñana","2021","7","Cistus crispus","Villamanrique Chaparral",1
"284","Doñana","2021","7","Cistus crispus","Villamanrique Chaparral",0.6
"285","Doñana","2021","7","Cistus crispus","Villamanrique Chaparral",0.8
"286","Doñana","2021","7","Cistus crispus","Villamanrique Chaparral",0.6
"287","Doñana","2021","7","Cistus crispus","Villamanrique Chaparral",1
"288","Doñana","2021","7","Cistus crispus","Villamanrique Chaparral",1
"289","Doñana","2021","8","Cistus crispus","Villamanrique Chaparral",0
"290","Doñana","2021","8","Cistus crispus","Villamanrique Chaparral",1
"291","Doñana","2021","8","Cistus crispus","Villamanrique Chaparral",1
"292","Doñana","2021","8","Cistus crispus","Villamanrique Chaparral",0.8
"293","Doñana","2021","8","Cistus crispus","Villamanrique Chaparral",0.8
"294","Doñana","2021","8","Cistus crispus","Villamanrique Chaparral",0.6
"295","Doñana","2021","8","Cistus crispus","Villamanrique Chaparral",1
"296","Doñana","2021","8","Cistus crispus","Villamanrique Chaparral",0.4
"297","Doñana","2021","8","Cistus crispus","Villamanrique Chaparral",0.8
"298","Doñana","2021","8","Cistus crispus","Villamanrique Chaparral",1
"299","Doñana","2021","9","Cistus crispus","Villamanrique Chaparral",0
"300","Doñana","2021","9","Cistus crispus","Villamanrique Chaparral",1
"301","Doñana","2021","9","Cistus crispus","Villamanrique Chaparral",0
"302","Doñana","2021","2","Cistus salviifolius","Villamanrique Sur",1
"303","Doñana","2021","2","Cistus salviifolius","Villamanrique Sur",0.8
"304","Doñana","2021","2","Cistus salviifolius","Villamanrique Sur",1
"305","Doñana","2021","2","Cistus salviifolius","Villamanrique Sur",1
"306","Doñana","2021","2","Cistus salviifolius","Villamanrique Sur",1
"307","Doñana","2021","2","Cistus salviifolius","Villamanrique Sur",1
"308","Doñana","2021","2","Cistus salviifolius","Villamanrique Sur",1
"309","Doñana","2021","2","Cistus salviifolius","Villamanrique Sur",1
"310","Doñana","2021","2","Cistus salviifolius","Villamanrique Sur",1
"311","Doñana","2021","2","Cistus salviifolius","Villamanrique Sur",0.8
"312","Doñana","2021","2","Cistus salviifolius","Villamanrique Sur",1
"313","Doñana","2021","3","Cistus salviifolius","Villamanrique Sur",0
"314","Doñana","2021","3","Cistus salviifolius","Villamanrique Sur",1
"315","Doñana","2021","3","Cistus salviifolius","Villamanrique Sur",1
"316","Doñana","2021","3","Cistus salviifolius","Villamanrique Sur",0.8
"317","Doñana","2021","3","Cistus salviifolius","Villamanrique Sur",0.8
"318","Doñana","2021","3","Cistus salviifolius","Villamanrique Sur",1
"319","Doñana","2021","3","Cistus salviifolius","Villamanrique Sur",1
"320","Doñana","2021","3","Cistus salviifolius","Villamanrique Sur",1
"321","Doñana","2021","3","Cistus salviifolius","Villamanrique Sur",1
"322","Doñana","2021","3","Cistus salviifolius","Villamanrique Sur",0.8
"323","Doñana","2021","3","Cistus salviifolius","Villamanrique Sur",1
"324","Doñana","2021","4","Cistus salviifolius","Villamanrique Sur",1
"325","Doñana","2021","4","Cistus salviifolius","Villamanrique Sur",0.8
"326","Doñana","2021","4","Cistus salviifolius","Villamanrique Sur",1
"327","Doñana","2021","4","Cistus salviifolius","Villamanrique Sur",1
"328","Doñana","2021","4","Cistus salviifolius","Villamanrique Sur",0.8
"329","Doñana","2021","4","Cistus salviifolius","Villamanrique Sur",1
"330","Doñana","2021","4","Cistus salviifolius","Villamanrique Sur",1
"331","Doñana","2021","4","Cistus salviifolius","Villamanrique Sur",0.8
"332","Doñana","2021","4","Cistus salviifolius","Villamanrique Sur",1
"333","Doñana","2021","4","Cistus salviifolius","Villamanrique Sur",0.8
"334","Doñana","2021","5","Cistus crispus","Villamanrique Sur",0.5
"335","Doñana","2021","5","Cistus crispus","Villamanrique Sur",1
"336","Doñana","2021","5","Cistus crispus","Villamanrique Sur",1
"337","Doñana","2021","5","Cistus salviifolius","Villamanrique Sur",1
"338","Doñana","2021","5","Cistus salviifolius","Villamanrique Sur",1
"339","Doñana","2021","5","Cistus salviifolius","Villamanrique Sur",1
"340","Doñana","2021","5","Cistus salviifolius","Villamanrique Sur",1
"341","Doñana","2021","5","Cistus salviifolius","Villamanrique Sur",0.8
"342","Doñana","2021","5","Cistus salviifolius","Villamanrique Sur",0.8
"343","Doñana","2021","5","Cistus salviifolius","Villamanrique Sur",1
"344","Doñana","2021","5","Cistus salviifolius","Villamanrique Sur",1
"345","Doñana","2021","5","Cistus salviifolius","Villamanrique Sur",0.6
"346","Doñana","2021","5","Cistus salviifolius","Villamanrique Sur",1
"347","Doñana","2021","5","Halimiun halimifolium","Villamanrique Sur",0.8
"348","Doñana","2021","5","Halimiun halimifolium","Villamanrique Sur",0
"349","Doñana","2021","6","Cistus crispus","Villamanrique Sur",1
"350","Doñana","2021","6","Cistus crispus","Villamanrique Sur",0.8
"351","Doñana","2021","6","Cistus crispus","Villamanrique Sur",0.8
"352","Doñana","2021","6","Cistus crispus","Villamanrique Sur",1
"353","Doñana","2021","6","Cistus crispus","Villamanrique Sur",1
"354","Doñana","2021","6","Cistus crispus","Villamanrique Sur",1
"355","Doñana","2021","6","Cistus crispus","Villamanrique Sur",0.8
"356","Doñana","2021","6","Cistus crispus","Villamanrique Sur",0.8
"357","Doñana","2021","6","Cistus crispus","Villamanrique Sur",0.8
"358","Doñana","2021","6","Cistus crispus","Villamanrique Sur",1
"359","Doñana","2021","6","Cistus salviifolius","Villamanrique Sur",1
"360","Doñana","2021","6","Cistus salviifolius","Villamanrique Sur",0
"361","Doñana","2021","6","Cistus salviifolius","Villamanrique Sur",0.5
"362","Doñana","2021","6","Cistus salviifolius","Villamanrique Sur",0.933333333333333
"363","Doñana","2021","6","Cistus salviifolius","Villamanrique Sur",0.6
"364","Doñana","2021","6","Cistus salviifolius","Villamanrique Sur",1
"365","Doñana","2021","6","Halimiun halimifolium","Villamanrique Sur",0.4
"366","Doñana","2021","6","Halimiun halimifolium","Villamanrique Sur",0.4
"367","Doñana","2021","6","Halimiun halimifolium","Villamanrique Sur",0
"368","Doñana","2021","7","Cistus crispus","Villamanrique Sur",0.8
"369","Doñana","2021","7","Cistus crispus","Villamanrique Sur",0.8
"370","Doñana","2021","7","Cistus crispus","Villamanrique Sur",1
"371","Doñana","2021","7","Cistus crispus","Villamanrique Sur",1
"372","Doñana","2021","7","Cistus crispus","Villamanrique Sur",1
"373","Doñana","2021","7","Cistus crispus","Villamanrique Sur",0.8
"374","Doñana","2021","7","Cistus crispus","Villamanrique Sur",0.8
"375","Doñana","2021","7","Cistus crispus","Villamanrique Sur",0.6
"376","Doñana","2021","7","Cistus crispus","Villamanrique Sur",0.2
"377","Doñana","2021","7","Cistus crispus","Villamanrique Sur",1
"378","Doñana","2021","7","Halimiun halimifolium","Villamanrique Sur",0.1
"379","Doñana","2021","7","Halimiun halimifolium","Villamanrique Sur",0.1
"380","Doñana","2021","7","Halimiun halimifolium","Villamanrique Sur",0
"381","Doñana","2021","8","Cistus crispus","Villamanrique Sur",0
"382","Doñana","2021","8","Cistus crispus","Villamanrique Sur",0
