"Site_id","Year","Bosque","Periodo","Especies","norm_degree","weight_closeness","d"
"Gorbea","2021","2","3","Bellis perennis",0.5,NA,0.410043723977943
"Gorbea","2021","5","2","Scilla verna",0.333333333333333,NA,0
"Gorbea","2021","5","2","Pedicularis sylvatica subsp. sylvatica",0.666666666666667,NA,1
"Gorbea","2021","5","2","Scilla verna",0.333333333333333,NA,0.647389321559071
"Gorbea","2021","5","2","Pedicularis sylvatica subsp. sylvatica",0.666666666666667,NA,0.410043723977943
"Gorbea","2021","4","1","Scilla verna",0.333333333333333,NA,0
"Gorbea","2021","4","1","Taraxacum sp.",0.666666666666667,NA,1
"Gorbea","2021","4","1","Scilla verna",0.333333333333333,NA,0.647389321559071
"Gorbea","2021","4","1","Taraxacum sp.",0.666666666666667,NA,0.410043723977943
"Gorbea","2021","2","4","Taraxacum sp.",0.5,0.177777777777778,0
"Gorbea","2021","2","4","Bellis perennis",0.125,0.253968253968254,1
"Gorbea","2021","2","4","Pedicularis sylvatica subsp. sylvatica",0.625,0.355555555555556,0.647389321559071
"Gorbea","2021","2","4","Viola riviniana",0.125,0.253968253968254,0.410043723977943
"Gorbea","2021","1","4","Taraxacum sp.",0.285714285714286,0,0
"Gorbea","2021","1","4","Bellis perennis",0.0476190476190476,0.5,1
"Gorbea","2021","1","4","Vicia pyrenaica",0.19047619047619,0,0.647389321559071
"Gorbea","2021","1","4","Erysimum gorbeanum",0.0476190476190476,0,0.410043723977943
"Gorbea","2021","1","4","Veronica sp.",0.0952380952380952,0,0
"Gorbea","2021","1","4","Scilla verna",0.142857142857143,0,1
"Gorbea","2021","1","4","Ranunculus repens",0.0952380952380952,0.5,0.647389321559071
"Gorbea","2021","1","4","Erinus alpinus",0.285714285714286,0.5,0.410043723977943
"Gorbea","2021","3","5","Ranunculus repens",0.363636363636364,0.204499528492523,0
"Gorbea","2021","3","5","Pedicularis sylvatica subsp. sylvatica",0.0909090909090909,0.0491452991452991,1
"Gorbea","2021","3","5","Bellis perennis",0.0909090909090909,0,0.647389321559071
"Gorbea","2021","3","5","Potentilla erecta",0.0909090909090909,0,0.410043723977943
"Gorbea","2021","3","5","Potentilla montana",0.0909090909090909,0.0491452991452991,0
"Gorbea","2021","3","5","Helianthemum nummularium",0.0909090909090909,0,1
