"","X.1","X","Fecha","Bosque","Especie.planta","Numero.flores","full.x","Periodo","full.y","full","Site","Year"
"109",109,109,"2020-05-17","1","Veronica sp.",101,1,4,NA,NA,"Gorbea",2020
"110",110,110,"2020-05-17","1","Pinguicula grandiflora subsp. Grandiflora",20,1,4,NA,NA,"Gorbea",2020
"111",111,111,"2020-05-17","1","Hutchinsia alpina",7,1,4,NA,NA,"Gorbea",2020
"112",112,112,"2020-05-18","2","Bellis perennis",4103,1,3,NA,NA,"Gorbea",2020
"113",113,113,"2020-05-18","2","Taraxacum sp.",15,1,3,NA,NA,"Gorbea",2020
"114",114,114,"2020-05-18","2","Ranunculus sp.",296,1,3,NA,NA,"Gorbea",2020
"115",115,115,"2020-05-18","2","Geranium robertianum",13,1,3,NA,NA,"Gorbea",2020
"116",116,116,"2020-05-18","2","Pedicularis sylvatica subsp. sylvatica",6,1,3,NA,NA,"Gorbea",2020
"117",117,117,"2020-05-18","2","Myosotis lamottiana",180,1,3,NA,NA,"Gorbea",2020
"118",118,118,"2020-05-18","2","Potentilla erecta",145,1,3,NA,NA,"Gorbea",2020
"119",119,119,"2020-05-18","2","Veronica sp.",106,1,3,NA,NA,"Gorbea",2020
"120",120,120,"2020-05-18","2","Pilosella officinarum",9,1,3,NA,NA,"Gorbea",2020
"121",121,121,"2020-05-18","2","Lysimachia nemorum",33,1,3,NA,NA,"Gorbea",2020
"122",122,122,"2020-05-18","2","Saxifraga sp.",33,1,3,NA,NA,"Gorbea",2020
"123",123,123,"2020-05-18","2","Erinus alpinus",15,1,3,NA,NA,"Gorbea",2020
"124",124,124,"2020-05-18","2","Cerastium sp.",3,1,3,NA,NA,"Gorbea",2020
"125",125,125,"2020-05-18","2","Fragaria vesca",3,1,3,NA,NA,"Gorbea",2020
"126",126,126,"2020-05-18","2","Polygala vulgaris",16,1,3,NA,NA,"Gorbea",2020
"127",127,127,"2020-05-18","2","Viola riviniana",2,1,3,NA,NA,"Gorbea",2020
"128",128,128,"2020-05-19","3","Trifolium pratense",20,1,2,NA,NA,"Gorbea",2020
"129",129,129,"2020-05-19","3","Ranunculus sp.",673,1,2,NA,NA,"Gorbea",2020
"130",130,130,"2020-05-19","3","Lathyrus linifolius",27,1,2,NA,NA,"Gorbea",2020
"131",131,131,"2020-05-19","3","Pedicularis sylvatica subsp. sylvatica",45,1,2,NA,NA,"Gorbea",2020
"132",132,132,"2020-05-19","3","Potentilla montana",39,1,2,NA,NA,"Gorbea",2020
"133",133,133,"2020-05-19","3","Potentilla erecta",221,1,2,NA,NA,"Gorbea",2020
"134",134,134,"2020-05-19","3","Polygala vulgaris",35,1,2,NA,NA,"Gorbea",2020
"135",135,135,"2020-05-19","3","Bellis perennis",1082,1,2,NA,NA,"Gorbea",2020
"136",136,136,"2020-05-19","3","Trifolium repens",70,1,2,NA,NA,"Gorbea",2020
"137",137,137,"2020-05-19","3","Prunella grandiflora",3,1,2,NA,NA,"Gorbea",2020
"138",138,138,"2020-05-19","3","Daboecia cantabrica",3,1,2,NA,NA,"Gorbea",2020
"139",139,139,"2020-05-19","3","Thymus praecox subsp. Polytrichus",6,1,2,NA,NA,"Gorbea",2020
"140",140,140,"2020-05-19","3","Lotus corniculatus",155,1,2,NA,NA,"Gorbea",2020
"141",141,141,"2020-05-19","3","Veronica sp.",5,1,2,NA,NA,"Gorbea",2020
"142",142,142,"2020-05-19","3","Medicago lupulina",46,1,2,NA,NA,"Gorbea",2020
"143",143,143,"2020-05-19","3","Helianthemum nummularium",41,1,2,NA,NA,"Gorbea",2020
"144",144,144,"2020-05-19","3","Taraxacum sp.",2,1,2,NA,NA,"Gorbea",2020
"145",145,145,"2020-05-19","3","Pilosella hypeurya",5,1,2,NA,NA,"Gorbea",2020
"146",146,146,"2020-05-20","4","Taraxacum sp.",7,1,2,NA,NA,"Gorbea",2020
"147",147,147,"2020-05-20","4","Erica cinerea",3,1,2,NA,NA,"Gorbea",2020
"148",148,148,"2020-05-20","4","Potentilla erecta",1188,1,2,NA,NA,"Gorbea",2020
"149",149,149,"2020-05-20","4","Ranunculus sp.",136,1,2,NA,NA,"Gorbea",2020
"150",150,150,"2020-05-20","4","Veronica officinalis",NA,1,2,NA,NA,"Gorbea",2020
"151",151,151,"2020-05-20","4","Pinguicula grandiflora subsp. Grandiflora",1,1,2,NA,NA,"Gorbea",2020
"152",152,152,"2020-05-20","4","Lathyrus linifolius",2,1,2,NA,NA,"Gorbea",2020
"153",153,153,"2020-05-20","4","Polygala vulgaris",524,1,2,NA,NA,"Gorbea",2020
"154",154,154,"2020-05-20","4","Galium sp.",NA,1,2,NA,NA,"Gorbea",2020
"155",155,155,"2020-05-20","4","Bellis perennis",NA,1,2,NA,NA,"Gorbea",2020
"156",156,156,"2020-05-21","5","Scilla verna",3,1,3,NA,NA,"Gorbea",2020
"157",157,157,"2020-05-21","5","Scorzonera humilis",63,1,3,NA,NA,"Gorbea",2020
"158",158,158,"2020-05-21","5","Daboecia cantabrica",32,1,3,NA,NA,"Gorbea",2020
"159",159,159,"2020-05-21","5","Pedicularis sylvatica subsp. sylvatica",15,1,3,NA,NA,"Gorbea",2020
"160",160,160,"2020-05-21","5","Pinguicula grandiflora subsp. Grandiflora",2,1,3,NA,NA,"Gorbea",2020
"161",161,161,"2020-05-21","5","Ranunculus sp.",35,1,3,NA,NA,"Gorbea",2020
"162",162,162,"2020-05-21","5","Polygala vulgaris",201,1,3,NA,NA,"Gorbea",2020
"163",163,163,"2020-05-21","5","Potentilla erecta",947,1,3,NA,NA,"Gorbea",2020
"164",164,164,"2020-05-21","5","Bellis perennis",8,1,3,NA,NA,"Gorbea",2020
"165",165,165,"2020-05-22","1","Vicia pyrenaica",181,1,5,NA,NA,"Gorbea",2020
"166",166,166,"2020-05-22","1","Taraxacum sp.",48,1,5,NA,NA,"Gorbea",2020
"167",167,167,"2020-05-22","1","Medicago lupulina",1100,1,5,NA,NA,"Gorbea",2020
"168",168,168,"2020-05-22","1","Linaria propinqua",29,1,5,NA,NA,"Gorbea",2020
"169",169,169,"2020-05-22","1","Ranunculus sp.",927,1,5,NA,NA,"Gorbea",2020
"170",170,170,"2020-05-22","1","Veronica officinalis",3,1,5,NA,NA,"Gorbea",2020
"171",171,171,"2020-05-22","1","Erysimum gorbeanum",9,1,5,NA,NA,"Gorbea",2020
"172",172,172,"2020-05-22","1","Geranium robertianum",20,1,5,NA,NA,"Gorbea",2020
"173",173,173,"2020-05-22","1","Pinguicula grandiflora subsp. Grandiflora",7,1,5,NA,NA,"Gorbea",2020
"174",174,174,"2020-05-22","1","Thymus praecox subsp. Polytrichus",15,1,5,NA,NA,"Gorbea",2020
"175",175,175,"2020-05-22","1","Hutchinsia alpina",18,1,5,NA,NA,"Gorbea",2020
"176",176,176,"2020-05-22","1","Scilla verna",3,1,5,NA,NA,"Gorbea",2020
"177",177,177,"2020-05-22","1","Potentilla montana",9,1,5,NA,NA,"Gorbea",2020
"178",178,178,"2020-05-22","1","Veronica sp.",101,1,5,NA,NA,"Gorbea",2020
"179",179,179,"2020-05-22","1","Lysimachia nemorum",135,1,5,NA,NA,"Gorbea",2020
"180",180,180,"2020-05-22","1","Euphrasia sp.",10,1,5,NA,NA,"Gorbea",2020
"181",181,181,"2020-05-22","1","Bellis perennis",4489,1,5,NA,NA,"Gorbea",2020
"182",182,182,"2020-05-25","2","Bellis perennis",4364,1,4,NA,NA,"Gorbea",2020
"183",183,183,"2020-05-25","2","Ranunculus sp.",666,1,4,NA,NA,"Gorbea",2020
"184",184,184,"2020-05-25","2","Myosotis lamottiana",355,1,4,NA,NA,"Gorbea",2020
"185",185,185,"2020-05-25","2","Veronica sp.",22,1,4,NA,NA,"Gorbea",2020
"186",186,186,"2020-05-25","2","Veronica officinalis",24,1,4,NA,NA,"Gorbea",2020
"187",187,187,"2020-05-25","2","Geranium robertianum",5,1,4,NA,NA,"Gorbea",2020
"188",188,188,"2020-05-25","2","Pilosella hypeurya",27,1,4,NA,NA,"Gorbea",2020
"189",189,189,"2020-05-25","2","Taraxacum sp.",7,1,4,NA,NA,"Gorbea",2020
"190",190,190,"2020-05-25","2","Potentilla erecta",220,1,4,NA,NA,"Gorbea",2020
"191",191,191,"2020-05-25","2","Lotus corniculatus",2,1,4,NA,NA,"Gorbea",2020
"192",192,192,"2020-05-25","2","Lysimachia nemorum",60,1,4,NA,NA,"Gorbea",2020
"193",193,193,"2020-05-25","2","Polygala vulgaris",10,1,4,NA,NA,"Gorbea",2020
"194",194,194,"2020-05-25","2","Saxifraga hirsuta",NA,1,4,NA,NA,"Gorbea",2020
"195",195,195,"2020-05-25","2","Erinus alpinus",140,1,4,NA,NA,"Gorbea",2020
"196",196,196,"2020-05-25","2","Hutchinsia alpina",NA,1,4,NA,NA,"Gorbea",2020
"197",197,197,"2020-05-25","2","Potentilla montana",4,1,4,NA,NA,"Gorbea",2020
"198",198,198,"2020-05-25","2","Fragaria vesca",2,1,4,NA,NA,"Gorbea",2020
"199",199,199,"2020-05-26","4","Potentilla erecta",1344,1,3,NA,NA,"Gorbea",2020
"200",200,200,"2020-05-26","4","Taraxacum sp.",65,1,3,NA,NA,"Gorbea",2020
"201",201,201,"2020-05-26","4","Veronica officinalis",531,1,3,NA,NA,"Gorbea",2020
"202",202,202,"2020-05-26","4","Polygala vulgaris",621,1,3,NA,NA,"Gorbea",2020
"203",203,203,"2020-05-26","4","Bellis perennis",91,1,3,NA,NA,"Gorbea",2020
"204",204,204,"2020-05-26","4","Ranunculus sp.",176,1,3,NA,NA,"Gorbea",2020
"205",205,205,"2020-05-26","4","Sedum album",14,1,3,NA,NA,"Gorbea",2020
"206",206,206,"2020-05-26","4","Galium sp.",NA,1,3,NA,NA,"Gorbea",2020
"207",207,207,"2020-05-26","4","Pinguicula grandiflora subsp. Grandiflora",1,1,3,NA,NA,"Gorbea",2020
"208",208,208,"2020-05-26","4","Scilla verna",3,1,3,NA,NA,"Gorbea",2020
"209",209,209,"2020-05-27","5","Potentilla erecta",1182,1,4,NA,NA,"Gorbea",2020
"210",210,210,"2020-05-27","5","Scorzonera humilis",35,1,4,NA,NA,"Gorbea",2020
"211",211,211,"2020-05-27","5","Polygala vulgaris",144,1,4,NA,NA,"Gorbea",2020
"212",212,212,"2020-05-27","5","Galium sp.",23,1,4,NA,NA,"Gorbea",2020
"213",213,213,"2020-05-27","5","Pedicularis sylvatica subsp. sylvatica",12,1,4,NA,NA,"Gorbea",2020
"214",214,214,"2020-05-27","5","Ranunculus sp.",14,1,4,NA,NA,"Gorbea",2020
"215",215,215,"2020-05-27","5","Daboecia cantabrica",11,1,4,NA,NA,"Gorbea",2020
"216",216,216,"2020-05-27","5","Erica tetralix",24,1,4,NA,NA,"Gorbea",2020
"217",217,217,"2020-05-27","5","Erica cinerea",48,1,4,NA,NA,"Gorbea",2020
"218",218,218,"2020-05-27","5","Bellis perennis",3,1,4,NA,NA,"Gorbea",2020
"219",219,219,"2020-05-28","3","Ranunculus sp.",531,1,3,NA,NA,"Gorbea",2020
"220",220,220,"2020-05-28","3","Lathyrus linifolius",10,1,3,NA,NA,"Gorbea",2020
"221",221,221,"2020-05-28","3","Prunella grandiflora",85,1,3,NA,NA,"Gorbea",2020
"222",222,222,"2020-05-28","3","Polygala vulgaris",8,1,3,NA,NA,"Gorbea",2020
"223",223,223,"2020-05-28","3","Pedicularis sylvatica subsp. sylvatica",7,1,3,NA,NA,"Gorbea",2020
"224",224,224,"2020-05-28","3","Lotus corniculatus",1419,1,3,NA,NA,"Gorbea",2020
"225",225,225,"2020-05-28","3","Trifolium repens",135,1,3,NA,NA,"Gorbea",2020
"226",226,226,"2020-05-28","3","Potentilla montana",4,1,3,NA,NA,"Gorbea",2020
"227",227,227,"2020-05-28","3","Helianthemum nummularium",29,1,3,NA,NA,"Gorbea",2020
"228",228,228,"2020-05-28","3","Trifolium pratense",11,1,3,NA,NA,"Gorbea",2020
"229",229,229,"2020-05-28","3","Potentilla erecta",198,1,3,NA,NA,"Gorbea",2020
"230",230,230,"2020-05-28","3","Medicago lupulina",120,1,3,NA,NA,"Gorbea",2020
"231",231,231,"2020-05-28","3","Daboecia cantabrica",1,1,3,NA,NA,"Gorbea",2020
"232",232,232,"2020-05-28","3","Teucrium pyrenaicum subsp. Pyrenaicum",7,1,3,NA,NA,"Gorbea",2020
"233",233,233,"2020-05-28","3","Euphrasia sp.",NA,1,3,NA,NA,"Gorbea",2020
"234",234,234,"2020-05-28","3","Bellis perennis",824,1,3,NA,NA,"Gorbea",2020
"235",235,235,"2020-05-28","3","Pilosella officinarum",4,1,3,NA,NA,"Gorbea",2020
"236",236,236,"2020-05-28","3","Veronica officinalis",3,1,3,NA,NA,"Gorbea",2020
"237",237,237,"2020-05-28","3","Thymus praecox subsp. Polytrichus",NA,1,3,NA,NA,"Gorbea",2020
"238",238,238,"2020-05-29","1","Ranunculus sp.",1766,1,6,NA,NA,"Gorbea",2020
"239",239,239,"2020-05-29","1","Bellis perennis",7132,1,6,NA,NA,"Gorbea",2020
"240",240,240,"2020-05-29","1","Veronica sp.",10,1,6,NA,NA,"Gorbea",2020
"241",241,241,"2020-05-29","1","Erysimum gorbeanum",51,1,6,NA,NA,"Gorbea",2020
"242",242,242,"2020-05-29","1","Geranium robertianum",96,1,6,NA,NA,"Gorbea",2020
"243",243,243,"2020-05-29","1","Linaria propinqua",70,1,6,NA,NA,"Gorbea",2020
"244",244,244,"2020-05-29","1","Vicia pyrenaica",67,1,6,NA,NA,"Gorbea",2020
"245",245,245,"2020-05-29","1","Taraxacum sp.",7,1,6,NA,NA,"Gorbea",2020
"246",246,246,"2020-05-29","1","Lotus corniculatus",122,1,6,NA,NA,"Gorbea",2020
