"","Site","Year","Bosque","Periodo","Planta","fruit_set","id_planta","Anidamiento","poll.sp","plant.sp","comp.fun.pol","comp.fun.pl","robustness.pol","robustness.pl","connectance","asymmetry","match","total.visits"
"44","Doñana",2021,"Pinar Aznalcazar",5,"Cistus crispus",0.666666666666667,"8,08",1.60138563122958,16,7,24.4907327022667,22.901660474118,0.643200114283384,0.419558524660175,0.1875,0.391304347826087,"Doñana_2021_Pinar Aznalcazar_5",29
"45","Doñana",2021,"Pinar Aznalcazar",5,"Cistus crispus",1,"9,02",1.60138563122958,16,7,24.4907327022667,22.901660474118,0.643200114283384,0.419558524660175,0.1875,0.391304347826087,"Doñana_2021_Pinar Aznalcazar_5",29
"46","Doñana",2021,"Pinar Aznalcazar",5,"Cistus crispus",1,"9,06",1.60138563122958,16,7,24.4907327022667,22.901660474118,0.643200114283384,0.419558524660175,0.1875,0.391304347826087,"Doñana_2021_Pinar Aznalcazar_5",29
"47","Doñana",2021,"Pinar Aznalcazar",5,"Cistus salviifolius",0.2,"1,07",1.60138563122958,16,7,24.4907327022667,22.901660474118,0.643200114283384,0.419558524660175,0.1875,0.391304347826087,"Doñana_2021_Pinar Aznalcazar_5",29
"48","Doñana",2021,"Pinar Aznalcazar",5,"Cistus salviifolius",0,"1,10",1.60138563122958,16,7,24.4907327022667,22.901660474118,0.643200114283384,0.419558524660175,0.1875,0.391304347826087,"Doñana_2021_Pinar Aznalcazar_5",29
"49","Doñana",2021,"Pinar Aznalcazar",5,"Cistus salviifolius",1,"2,07",1.60138563122958,16,7,24.4907327022667,22.901660474118,0.643200114283384,0.419558524660175,0.1875,0.391304347826087,"Doñana_2021_Pinar Aznalcazar_5",29
"50","Doñana",2021,"Pinar Aznalcazar",5,"Cistus salviifolius",1,"3,06",1.60138563122958,16,7,24.4907327022667,22.901660474118,0.643200114283384,0.419558524660175,0.1875,0.391304347826087,"Doñana_2021_Pinar Aznalcazar_5",29
"51","Doñana",2021,"Pinar Aznalcazar",5,"Cistus salviifolius",1,"3,07",1.60138563122958,16,7,24.4907327022667,22.901660474118,0.643200114283384,0.419558524660175,0.1875,0.391304347826087,"Doñana_2021_Pinar Aznalcazar_5",29
"52","Doñana",2021,"Pinar Aznalcazar",5,"Cistus salviifolius",1,"3,08",1.60138563122958,16,7,24.4907327022667,22.901660474118,0.643200114283384,0.419558524660175,0.1875,0.391304347826087,"Doñana_2021_Pinar Aznalcazar_5",29
"53","Doñana",2021,"Pinar Aznalcazar",5,"Cistus salviifolius",1,"3,09",1.60138563122958,16,7,24.4907327022667,22.901660474118,0.643200114283384,0.419558524660175,0.1875,0.391304347826087,"Doñana_2021_Pinar Aznalcazar_5",29
