"","X","Site","Year","Bosque","Periodo","Planta","Degree","Specialization","Closeness","nestedcontribution","match","tot.visits.pl","poll.sp","plant.sp"
"61",61,"Doñana",2020,"Villamanrique Chaparral",4,"Cistus crispus",0.333333333333333,0.229565217391304,0.649568139518281,0.225584529545545,"Doñana_2020_Villamanrique Chaparral_4",17,15,6
"62",62,"Doñana",2020,"Villamanrique Chaparral",4,"Cistus salvifolius",0.0666666666666667,0,0.903119070533486,-0.209200238260294,"Doñana_2020_Villamanrique Chaparral_4",6,15,6
"63",63,"Doñana",2020,"Villamanrique Chaparral",4,"Echium plantagineum",0.2,0.189723320158103,0.373595064063186,0.464872667443352,"Doñana_2020_Villamanrique Chaparral_4",6,15,6
"64",64,"Doñana",2020,"Villamanrique Chaparral",4,"Leontodon hispidus",0.4,0.107023411371237,0.87937633314988,0.270872970768067,"Doñana_2020_Villamanrique Chaparral_4",9,15,6
"65",65,"Doñana",2020,"Villamanrique Chaparral",5,"Andryala integrifolia",0.444444444444444,0.0898155573376103,0.176818202008945,0.903070710633978,"Doñana_2020_Villamanrique Chaparral_5",4,9,7
"66",66,"Doñana",2020,"Villamanrique Chaparral",5,"Cistus crispus",0.222222222222222,0.0973630831643002,0.119906233284066,-0.505674173241625,"Doñana_2020_Villamanrique Chaparral_5",3,9,7
"67",67,"Doñana",2020,"Villamanrique Chaparral",5,"Cistus salvifolius",0.222222222222222,0,1,-1.02977310439148,"Doñana_2020_Villamanrique Chaparral_5",2,9,7
"68",68,"Doñana",2020,"Villamanrique Chaparral",5,"Echium plantagineum",0.444444444444444,0.340770791075051,0.346198297902565,0.820345924083487,"Doñana_2020_Villamanrique Chaparral_5",17,9,7
"69",69,"Doñana",2020,"Villamanrique Chaparral",5,"Galactite tomentosa",0.222222222222222,0.114714919767839,0.0497655832101643,0.0245019650138796,"Doñana_2020_Villamanrique Chaparral_5",3,9,7
"70",70,"Doñana",2020,"Villamanrique Chaparral",5,"Leontodon hispidus",0.333333333333333,0.0551724137931034,0.479090914859699,-0.0851638363074573,"Doñana_2020_Villamanrique Chaparral_5",4,9,7
