"Site","Year","Bosque","Periodo","Species","Degree","Specialization","Closeness","nestedcontribution"
"Doñana","2021","Pinar Hinojos","5","Lavandula stoechas",0.25,1.33333333333333,0.673657673906779,-0.976892254187516
"Doñana","2021","Pinar Hinojos","5","Urospermum picroides",0.0833333333333333,0,1,-1.11970670273126
"Doñana","2021","Pinar Hinojos","6","Cerinthe major",0.0909090909090909,0,0.619906233284066,-0.899294221795256
"Doñana","2021","Pinar Hinojos","6","Chamaemelum mixtum",0.0909090909090909,0.0740740740740741,0,-0.604825970442264
"Doñana","2021","Pinar Hinojos","6","Cistus libanotis",0.545454545454545,0.0740740740740741,0.614785643889138,-0.429129721707111
"Doñana","2021","Pinar Hinojos","6","Crepis vesicaria",0.0909090909090909,0.666666666666667,0.190862358732145,-0.670878088809457
"Doñana","2021","Pinar Hinojos","6","Echium plantagineum",0.181818181818182,0,0.75,-0.726918599411496
"Doñana","2021","Pinar Hinojos","6","Leontodon longirostris",0.363636363636364,0.518518518518518,0.142494757703502,-0.466982755865454
"Doñana","2021","Pinar Hinojos","6","Orobanche ramosa",0.0909090909090909,0,0.619906233284066,-0.996335363623393
"Doñana","2021","Pinar Hinojos","7","Andryala integrifolia",0.111111111111111,0.0671892497200448,0.352314537622003,-0.56847538120316
"Doñana","2021","Pinar Hinojos","7","Chamaemelum mixtum",0.111111111111111,0.164759725400458,0.241168202917542,0.769619441668863
"Doñana","2021","Pinar Hinojos","7","Cistus libanotis",0.444444444444444,0.0709639266706091,0.68393948267488,-0.342588795690051
"Doñana","2021","Pinar Hinojos","7","Halimium halimifolium",0.444444444444444,0.236842105263158,0.438433277455027,0.452626773147322
"Doñana","2021","Pinar Hinojos","7","Leontodon longirostris",0.555555555555556,0.332409972299169,0.310397801136838,1.34329960323171
"Doñana","2021","Pinar Hinojos","8","Andryala integrifolia",0.0909090909090909,0.25,0.321060801097007,-1.07660552362126
"Doñana","2021","Pinar Hinojos","8","Crepis vesicaria",0.0909090909090909,0,1,-1.86697072507044
"Doñana","2021","Pinar Hinojos","8","Halimium halimifolium",0.454545454545455,0.5,0.775464345703423,-1.06818648358232
"Doñana","2021","Pinar Hinojos","8","Leontodon longirostris",0.545454545454545,0.75,0.816021298140599,-0.605901443274997
"Doñana","2021","Pinar Hinojos","9","Andryala integrifolia",0.666666666666667,1,0.333333333333333,0.166525521255265
"Doñana","2021","Pinar Hinojos","9","Crepis vesicaria",0.333333333333333,0,0.5,-0.649877028980872
"Doñana","2021","Pinar Hinojos","9","Halimium halimifolium",0.333333333333333,1,0.333333333333333,0.444991269968843
"Doñana","2021","Pinar Hinojos","9","Leontodon longirostris",0.333333333333333,0,0.5,-0.710955648270192
"Doñana","2021","Pinar Puebla","1","Anemone palmata",0.153846153846154,0.0862127950735546,0.508081231254246,0.234343644186853
"Doñana","2021","Pinar Puebla","1","Cistus ladanifer",0.0769230769230769,0.0504504504504504,0.569323441926607,-0.270772090897223
"Doñana","2021","Pinar Puebla","1","Cistus salviifolius",0.846153846153846,0.296122209165687,0.225276979091847,1.91315049494215
"Doñana","2021","Pinar Puebla","1","Genista hirsuta",0.0769230769230769,0,1,-1.3764338222952
"Doñana","2021","Pinar Puebla","1","Lavandula stoechas",0.0769230769230769,0,1,-1.22462566283751
"Doñana","2021","Pinar Puebla","1","Rosmarinus officinalis",0.0769230769230769,0.12972972972973,0.1092635092137,-0.234218278949076
"Doñana","2021","Pinar Puebla","2","Asphodelus ramosus",0.111111111111111,0.0594059405940594,0.346055677680479,-1.00957430696922
"Doñana","2021","Pinar Puebla","2","Cistus ladanifer",0.222222222222222,0.16973125884017,0.136089381867703,0.0878403585453353
"Doñana","2021","Pinar Puebla","2","Cistus salviifolius",0.722222222222222,0.509193776520509,0.142458794424601,1.39617010438685
"Doñana","2021","Pinar Puebla","2","Genista hirsuta",0.0555555555555556,0.0594059405940594,0,-1.00914997492218
"Doñana","2021","Pinar Puebla","2","Lavandula stoechas",0.222222222222222,0.178217821782178,0.385077483633776,-1.04552752185173
"Doñana","2021","Pinar Puebla","2","Rosmarinus officinalis",0.0555555555555556,0.237623762376238,0.0998293585609548,-0.99427785611034
"Doñana","2021","Pinar Puebla","3","Anemone palmata",0.166666666666667,0.19047619047619,0.796707580990507,-0.511972944195219
"Doñana","2021","Pinar Puebla","3","Cistus salviifolius",0.833333333333333,0.266666666666667,0.49090322642281,0.943428722658126
"Doñana","2021","Pinar Puebla","3","Genista hirsuta",0.0833333333333333,0.133333333333333,0,-0.894820797161766
"Doñana","2021","Pinar Puebla","3","Lavandula stoechas",0.166666666666667,0.133333333333333,0.647818075341425,-1.19843315520714
"Doñana","2021","Pinar Puebla","3","Rosmarinus officinalis",0.0833333333333333,0.222222222222222,0.239812466568131,-0.99578527851607
"Doñana","2021","Pinar Puebla","4","Cistus ladanifer",0.307692307692308,0.05,0.469279265734814,0.647464756533496
"Doñana","2021","Pinar Puebla","4","Cistus salviifolius",0.461538461538462,0.0851063829787234,0.206458680736161,1.63971057429289
"Doñana","2021","Pinar Puebla","4","Genista hirsuta",0.0769230769230769,0.117154811715481,0.927171658506202,-0.553756004196315
"Doñana","2021","Pinar Puebla","4","Lavandula stoechas",0.230769230769231,0.0436781609195402,0.498226044162704,0.678676521946756
"Doñana","2021","Pinar Puebla","4","Leontodon longirostris",0.384615384615385,0.113704368641532,0.58557265905046,0.578977689281589
"Doñana","2021","Pinar Puebla","4","Rosmarinus officinalis",0.0769230769230769,0,1,-1.02818236790093
"Doñana","2021","Pinar Puebla","5","Andryala arenaria",0.4,0.134806216064407,0.266049219180292,1.01196629894188
"Doñana","2021","Pinar Puebla","5","Cistus ladanifer",0.1,0,1,-0.966790490305405
"Doñana","2021","Pinar Puebla","5","Cistus salviifolius",0.2,0.0716774514683922,0.41495466090163,0.918480580069181
"Doñana","2021","Pinar Puebla","5","Galactites tomentosus",0.3,0.101337086558761,0.607448105310069,0.189104832375256
"Doñana","2021","Pinar Puebla","5","Lavandula stoechas",0.1,0.0402571987699189,0.72976184557268,-0.704061971357678
"Doñana","2021","Pinar Puebla","5","Leontodon longirostris",0.2,0.0881632653061225,0.31078734475172,-0.291296751816541
"Doñana","2021","Pinar Puebla","5","Tolpis barbata",0.3,0.117551020408163,0.116831670990003,0.650201397212861
"Doñana","2021","Pinar Puebla","6","Andryala arenaria",0.444444444444444,1.02923976608187,0.481447038398938,-0.328988861093117
"Doñana","2021","Pinar Puebla","6","Andryala integrifolia",0.444444444444444,0.355555555555556,0.21044156902037,-0.0862030453322624
"Doñana","2021","Pinar Puebla","6","Galactites tomentosus",0.444444444444444,0,1,-1.11101250400584
"Doñana","2021","Pinar Puebla","6","Tolpis barbata",0.111111111111111,0.111111111111111,0,0.162446930896089
"Doñana","2021","Pinar Puebla","7","Andryala arenaria",0.5,1.42857142857143,0.391478398319927,0.179389290533609
