"","X","Site_id","Year","Bosque","Periodo","Planta","norm_degree","weight_closeness","d","match","tot.visits.pl","pl.mean.fs","se.pl.fs","pl.mean.sn","se.pl.sn"
"44",44,"Doñana",2020,"Pinar Aznalcazar",4,"Cistus crispus",0.454545454545455,0,0.410043723977943,"Doñana_2020_Pinar Aznalcazar_4_Cistus crispus",2,NA,NA,NA,NA
"45",45,"Doñana",2020,"Villamanrique Sur",6,"Andryala integrifolia",0.75,0.5,0,"Doñana_2020_Villamanrique Sur_6_Andryala integrifolia",8,NA,NA,NA,NA
"46",46,"Doñana",2020,"Villamanrique Sur",6,"Cistus salvifolius",0.125,0,1,"Doñana_2020_Villamanrique Sur_6_Cistus salvifolius",1,NA,NA,NA,NA
"47",47,"Doñana",2020,"Villamanrique Sur",6,"Halimium halimifolium",0.25,0.333333333333333,0.647389321559071,"Doñana_2020_Villamanrique Sur_6_Halimium halimifolium",2,NA,NA,NA,NA
"48",48,"Doñana",2020,"Villamanrique Sur",6,"Scolymus hispanicus",0.125,0.333333333333333,0.410043723977943,"Doñana_2020_Villamanrique Sur_6_Scolymus hispanicus",1,NA,NA,NA,NA
"49",49,"Doñana",2021,"Pinar Hinojos",8,"Halimium halimifolium",0.0909090909090909,0.25,0,"Doñana_2021_Pinar Hinojos_8_Halimium halimifolium",24,NA,NA,NA,NA
"50",50,"Doñana",2021,"Pinar Hinojos",8,"Leontodon longirostris",0.0909090909090909,0,1,"Doñana_2021_Pinar Hinojos_8_Leontodon longirostris",10,NA,NA,NA,NA
"51",51,"Doñana",2021,"Pinar Hinojos",8,"Andryala integrifolia",0.454545454545455,0.5,0.647389321559071,"Doñana_2021_Pinar Hinojos_8_Andryala integrifolia",1,NA,NA,NA,NA
"52",52,"Doñana",2021,"Pinar Hinojos",8,"Crepis vesicaria",0.545454545454545,0.75,0.410043723977943,"Doñana_2021_Pinar Hinojos_8_Crepis vesicaria",2,NA,NA,NA,NA
"53",53,"Doñana",2021,"Pinar Hinojos",9,"Leontodon longirostris",0.666666666666667,1,0,"Doñana_2021_Pinar Hinojos_9_Leontodon longirostris",1,NA,NA,NA,NA
"54",54,"Doñana",2021,"Pinar Hinojos",9,"Crepis vesicaria",0.333333333333333,0,1,"Doñana_2021_Pinar Hinojos_9_Crepis vesicaria",1,NA,NA,NA,NA
"55",55,"Doñana",2021,"Pinar Hinojos",9,"Andryala integrifolia",0.333333333333333,1,0.647389321559071,"Doñana_2021_Pinar Hinojos_9_Andryala integrifolia",3,NA,NA,NA,NA
"56",56,"Doñana",2021,"Pinar Hinojos",9,"Halimium halimifolium",0.333333333333333,0,0.410043723977943,"Doñana_2021_Pinar Hinojos_9_Halimium halimifolium",2,NA,NA,NA,NA
"57",57,"Doñana",2021,"Villamanrique Chaparral",1,"Rosmarinus officinalis",0.5,0.0112994350282486,0,"Doñana_2021_Villamanrique Chaparral_1_Rosmarinus officinalis",113,NA,NA,NA,NA
"58",58,"Doñana",2021,"Villamanrique Chaparral",1,"Asphodelus ramosus",0.375,0.00677966101694915,1,"Doñana_2021_Villamanrique Chaparral_1_Asphodelus ramosus",4,NA,NA,NA,NA
"59",59,"Doñana",2021,"Villamanrique Chaparral",1,"Cistus salviifolius",0.125,0.0225988700564972,0.647389321559071,"Doñana_2021_Villamanrique Chaparral_1_Cistus salviifolius",4,NA,NA,NA,NA
"60",60,"Doñana",2021,"Villamanrique Chaparral",1,"Lavandula stoechas",0.375,0.0329983500824959,0.410043723977943,"Doñana_2021_Villamanrique Chaparral_1_Lavandula stoechas",6,NA,NA,NA,NA
"61",61,"Doñana",2021,"Villamanrique Chaparral",9,"Myrtus communis",0.142857142857143,NA,0,"Doñana_2021_Villamanrique Chaparral_9_Myrtus communis",9,NA,NA,NA,NA
"62",62,"Doñana",2021,"Villamanrique Chaparral",9,"Echium plantagineum",0.571428571428571,NA,1,"Doñana_2021_Villamanrique Chaparral_9_Echium plantagineum",11,NA,NA,NA,NA
"63",63,"Doñana",2021,"Villamanrique Chaparral",9,"Andryala integrifolia",0.142857142857143,NA,0.647389321559071,"Doñana_2021_Villamanrique Chaparral_9_Andryala integrifolia",1,NA,NA,NA,NA
"64",64,"Doñana",2021,"Villamanrique Chaparral",9,"Scolymus hispanicus",0.142857142857143,NA,0.410043723977943,"Doñana_2021_Villamanrique Chaparral_9_Scolymus hispanicus",1,NA,NA,NA,NA
"65",65,"Doñana",2021,"Villamanrique Sur",1,"Cistus salviifolius",1,1.23076923076923,0,"Doñana_2021_Villamanrique Sur_1_Cistus salviifolius",32,NA,NA,NA,NA
"66",66,"Doñana",2021,"Villamanrique Sur",1,"Rosmarinus officinalis",0.111111111111111,0.769230769230769,1,"Doñana_2021_Villamanrique Sur_1_Rosmarinus officinalis",5,NA,NA,NA,NA
"67",67,"Doñana",2021,"Villamanrique Sur",1,"Cistus salviifolius",1,1.23076923076923,0.647389321559071,"Doñana_2021_Villamanrique Sur_1_Cistus salviifolius",32,NA,NA,NA,NA
"68",68,"Doñana",2021,"Villamanrique Sur",1,"Rosmarinus officinalis",0.111111111111111,0.769230769230769,0.410043723977943,"Doñana_2021_Villamanrique Sur_1_Rosmarinus officinalis",5,NA,NA,NA,NA
"69",69,"Doñana",2021,"Villamanrique Sur",2,"Cistus salviifolius",1,1.375,0,"Doñana_2021_Villamanrique Sur_2_Cistus salviifolius",78,0.963636363636364,0.0243934688454522,0.0486124603246586,0.0227396407350594
"70",70,"Doñana",2021,"Villamanrique Sur",2,"Rosmarinus officinalis",0.0769230769230769,0.625,1,"Doñana_2021_Villamanrique Sur_2_Rosmarinus officinalis",15,NA,NA,NA,NA
"71",71,"Doñana",2021,"Villamanrique Sur",2,"Cistus salviifolius",1,1.375,0.647389321559071,"Doñana_2021_Villamanrique Sur_2_Cistus salviifolius",78,0.963636363636364,0.0243934688454522,0.0486124603246586,0.0227396407350594
"72",72,"Doñana",2021,"Villamanrique Sur",2,"Rosmarinus officinalis",0.0769230769230769,0.625,0.410043723977943,"Doñana_2021_Villamanrique Sur_2_Rosmarinus officinalis",15,NA,NA,NA,NA
"73",73,"Doñana",2021,"Villamanrique Sur",4,"Cistus salviifolius",0.9375,1.27272727272727,0,"Doñana_2021_Villamanrique Sur_4_Cistus salviifolius",49,0.92,0.032659863237109,-0.0956643497865624,0.0384980057926141
"74",74,"Doñana",2021,"Villamanrique Sur",4,"Halimium halimifolium",0.25,0.727272727272727,1,"Doñana_2021_Villamanrique Sur_4_Halimium halimifolium",5,NA,NA,NA,NA
"75",75,"Doñana",2021,"Villamanrique Sur",4,"Cistus salviifolius",0.9375,1.27272727272727,0.647389321559071,"Doñana_2021_Villamanrique Sur_4_Cistus salviifolius",49,0.92,0.032659863237109,-0.0956643497865624,0.0384980057926141
"76",76,"Doñana",2021,"Villamanrique Sur",4,"Halimium halimifolium",0.25,0.727272727272727,0.410043723977943,"Doñana_2021_Villamanrique Sur_4_Halimium halimifolium",5,NA,NA,NA,NA
"77",77,"Doñana",2021,"Pinar Aznalcazar",8,"Cistus crispus",0.133333333333333,NA,0,"Doñana_2021_Pinar Aznalcazar_8_Cistus crispus",17,1,NA,-0.420991309195062,0.0841799330765185
"78",78,"Doñana",2021,"Pinar Aznalcazar",8,"Tolpis barbata",0.733333333333333,NA,1,"Doñana_2021_Pinar Aznalcazar_8_Tolpis barbata",2,NA,NA,NA,NA
"79",79,"Doñana",2021,"Pinar Aznalcazar",8,"Aetheorhiza bulbosa",0.0666666666666667,NA,0.647389321559071,"Doñana_2021_Pinar Aznalcazar_8_Aetheorhiza bulbosa",4,NA,NA,NA,NA
